doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
BOTU,Botulismo,270230,Coruripe,AL,2007,0
BOTU,Botulismo,270230,Coruripe,AL,2008,0
BOTU,Botulismo,270230,Coruripe,AL,2009,5
BOTU,Botulismo,270230,Coruripe,AL,2010,0
BOTU,Botulismo,270230,Coruripe,AL,2011,0
BOTU,Botulismo,270230,Coruripe,AL,2012,0
BOTU,Botulismo,270230,Coruripe,AL,2013,0
BOTU,Botulismo,270230,Coruripe,AL,2014,0
BOTU,Botulismo,270230,Coruripe,AL,2016,0
BOTU,Botulismo,270230,Coruripe,AL,2017,0
BOTU,Botulismo,270230,Coruripe,AL,2018,0
BOTU,Botulismo,270230,Coruripe,AL,2019,0
BOTU,Botulismo,270230,Coruripe,AL,2020,0
BOTU,Botulismo,270230,Coruripe,AL,2021,0
BOTU,Botulismo,270230,Coruripe,AL,2022,0
BOTU,Botulismo,270230,Coruripe,AL,2023,0
BOTU,Botulismo,270230,Coruripe,AL,2024,0
BOTU,Botulismo,270230,Coruripe,AL,2025,0
BOTU,Botulismo,130260,Manaus,AM,2007,0
BOTU,Botulismo,130260,Manaus,AM,2008,0
BOTU,Botulismo,130260,Manaus,AM,2009,0
BOTU,Botulismo,130260,Manaus,AM,2010,0
BOTU,Botulismo,130260,Manaus,AM,2011,0
BOTU,Botulismo,130260,Manaus,AM,2012,0
BOTU,Botulismo,130260,Manaus,AM,2013,0
BOTU,Botulismo,130260,Manaus,AM,2014,0
BOTU,Botulismo,130260,Manaus,AM,2016,0
BOTU,Botulismo,130260,Manaus,AM,2017,0
BOTU,Botulismo,130260,Manaus,AM,2018,1
BOTU,Botulismo,130260,Manaus,AM,2019,1
BOTU,Botulismo,130260,Manaus,AM,2020,0
BOTU,Botulismo,130260,Manaus,AM,2021,0
BOTU,Botulismo,130260,Manaus,AM,2022,0
BOTU,Botulismo,130260,Manaus,AM,2023,0
BOTU,Botulismo,130260,Manaus,AM,2024,0
BOTU,Botulismo,130260,Manaus,AM,2025,0
BOTU,Botulismo,130406,Tabatinga,AM,2007,0
BOTU,Botulismo,130406,Tabatinga,AM,2008,0
BOTU,Botulismo,130406,Tabatinga,AM,2009,0
BOTU,Botulismo,130406,Tabatinga,AM,2010,0
BOTU,Botulismo,130406,Tabatinga,AM,2011,0
BOTU,Botulismo,130406,Tabatinga,AM,2012,0
BOTU,Botulismo,130406,Tabatinga,AM,2013,0
BOTU,Botulismo,130406,Tabatinga,AM,2014,0
BOTU,Botulismo,130406,Tabatinga,AM,2016,0
BOTU,Botulismo,130406,Tabatinga,AM,2017,0
BOTU,Botulismo,130406,Tabatinga,AM,2018,1
BOTU,Botulismo,130406,Tabatinga,AM,2019,0
BOTU,Botulismo,130406,Tabatinga,AM,2020,0
BOTU,Botulismo,130406,Tabatinga,AM,2021,0
BOTU,Botulismo,130406,Tabatinga,AM,2022,0
BOTU,Botulismo,130406,Tabatinga,AM,2023,0
BOTU,Botulismo,130406,Tabatinga,AM,2024,0
BOTU,Botulismo,130406,Tabatinga,AM,2025,0
BOTU,Botulismo,290600,Campo Formoso,BA,2007,0
BOTU,Botulismo,290600,Campo Formoso,BA,2008,0
BOTU,Botulismo,290600,Campo Formoso,BA,2009,0
BOTU,Botulismo,290600,Campo Formoso,BA,2010,0
BOTU,Botulismo,290600,Campo Formoso,BA,2011,0
BOTU,Botulismo,290600,Campo Formoso,BA,2012,0
BOTU,Botulismo,290600,Campo Formoso,BA,2013,0
BOTU,Botulismo,290600,Campo Formoso,BA,2014,0
BOTU,Botulismo,290600,Campo Formoso,BA,2016,0
BOTU,Botulismo,290600,Campo Formoso,BA,2017,0
BOTU,Botulismo,290600,Campo Formoso,BA,2018,0
BOTU,Botulismo,290600,Campo Formoso,BA,2019,0
BOTU,Botulismo,290600,Campo Formoso,BA,2020,0
BOTU,Botulismo,290600,Campo Formoso,BA,2021,0
BOTU,Botulismo,290600,Campo Formoso,BA,2022,0
BOTU,Botulismo,290600,Campo Formoso,BA,2023,0
BOTU,Botulismo,290600,Campo Formoso,BA,2024,4
BOTU,Botulismo,290600,Campo Formoso,BA,2025,0
BOTU,Botulismo,291080,Feira de Santana,BA,2007,0
BOTU,Botulismo,291080,Feira de Santana,BA,2008,0
BOTU,Botulismo,291080,Feira de Santana,BA,2009,0
BOTU,Botulismo,291080,Feira de Santana,BA,2010,0
BOTU,Botulismo,291080,Feira de Santana,BA,2011,0
BOTU,Botulismo,291080,Feira de Santana,BA,2012,0
BOTU,Botulismo,291080,Feira de Santana,BA,2013,0
BOTU,Botulismo,291080,Feira de Santana,BA,2014,0
BOTU,Botulismo,291080,Feira de Santana,BA,2016,0
BOTU,Botulismo,291080,Feira de Santana,BA,2017,0
BOTU,Botulismo,291080,Feira de Santana,BA,2018,0
BOTU,Botulismo,291080,Feira de Santana,BA,2019,0
BOTU,Botulismo,291080,Feira de Santana,BA,2020,0
BOTU,Botulismo,291080,Feira de Santana,BA,2021,0
BOTU,Botulismo,291080,Feira de Santana,BA,2022,0
BOTU,Botulismo,291080,Feira de Santana,BA,2023,2
BOTU,Botulismo,291080,Feira de Santana,BA,2024,0
