doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2006,0
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2007,0
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2008,0
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2009,0
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2010,0
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2011,0
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2012,0
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2013,0
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2014,1
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2015,1
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2016,4
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2017,2
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2018,6
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2019,16
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2020,0
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2021,5
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2022,6
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2023,3
CHAGAS,Doença de Chagas Aguda,120020,Cruzeiro do Sul,AC,2024,17
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2006,0
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2007,0
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2008,0
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2009,1
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2010,5
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2011,0
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2012,0
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2013,1
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2014,0
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2015,0
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2016,18
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2017,0
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2018,1
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2019,1
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2020,0
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2021,0
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2022,1
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2023,0
CHAGAS,Doença de Chagas Aguda,120030,Feijo,AC,2024,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2006,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2007,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2008,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2009,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2010,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2011,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2012,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2013,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2014,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2015,2
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2016,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2017,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2018,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2019,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2020,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2021,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2022,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2023,0
CHAGAS,Doença de Chagas Aguda,120032,Jordao,AC,2024,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2006,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2007,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2008,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2009,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2010,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2011,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2012,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2013,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2014,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2015,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2016,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2017,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2018,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2019,4
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2020,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2021,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2022,1
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2023,0
CHAGAS,Doença de Chagas Aguda,120035,Marechal Thaumaturgo,AC,2024,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2006,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2007,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2008,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2009,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2010,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2011,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2012,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2013,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2014,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2015,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2016,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2017,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2018,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2019,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2020,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2021,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2022,0
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2023,1
CHAGAS,Doença de Chagas Aguda,120039,Porto Walter,AC,2024,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2006,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2007,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2008,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2009,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2010,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2011,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2012,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2013,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2014,1
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2015,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2016,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2017,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2018,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2019,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2020,1
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2021,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2022,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2023,0
CHAGAS,Doença de Chagas Aguda,120040,Rio Branco,AC,2024,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2006,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2007,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2008,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2009,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2010,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2011,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2012,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2013,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2014,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2015,1
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2016,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2017,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2018,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2019,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2020,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2021,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2022,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2023,0
CHAGAS,Doença de Chagas Aguda,120042,Rodrigues Alves,AC,2024,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2006,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2007,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2008,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2009,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2010,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2011,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2012,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2013,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2014,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2015,2
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2016,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2017,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2018,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2019,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2020,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2021,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2022,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2023,0
CHAGAS,Doença de Chagas Aguda,120060,Tarauaca,AC,2024,0
CHAGAS,Doença de Chagas Aguda,130002,Alvaraes,AM,2006,0
CHAGAS,Doença de Chagas Aguda,130002,Alvaraes,AM,2007,0
CHAGAS,Doença de Chagas Aguda,130002,Alvaraes,AM,2008,0
CHAGAS,Doença de Chagas Aguda,130002,Alvaraes,AM,2009,0
CHAGAS,Doença de Chagas Aguda,130002,Alvaraes,AM,2010,0
CHAGAS,Doença de Chagas Aguda,130002,Alvaraes,AM,2011,0
CHAGAS,Doença de Chagas Aguda,130002,Alvaraes,AM,2012,0
CHAGAS,Doença de Chagas Aguda,130002,Alvaraes,AM,2013,0
CHAGAS,Doença de Chagas Aguda,130002,Alvaraes,AM,2014,0
CHAGAS,Doença de Chagas Aguda,130002,Alvaraes,AM,2015,0
CHAGAS,Doença de Chagas Aguda,130002,Alvaraes,AM,2016,1
CHAGAS,Doença de Chagas Aguda,130002,Alvaraes,AM,2017,0
CHAGAS,Doença de Chagas Aguda,130002,Alvaraes,AM,2018,0
CHAGAS,Doença de Chagas Aguda,130002,Alvaraes,AM,2019,0
CHAGAS,Doença de Chagas Aguda,130002,Alvaraes,AM,2020,0
