doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
CHIK,Chikungunya,120001,Acrelandia,AC,2017,0
CHIK,Chikungunya,120001,Acrelandia,AC,2018,0
CHIK,Chikungunya,120001,Acrelandia,AC,2019,0
CHIK,Chikungunya,120001,Acrelandia,AC,2020,1
CHIK,Chikungunya,120001,Acrelandia,AC,2021,1
CHIK,Chikungunya,120001,Acrelandia,AC,2022,1
CHIK,Chikungunya,120001,Acrelandia,AC,2023,7
CHIK,Chikungunya,120001,Acrelandia,AC,2024,1
CHIK,Chikungunya,120001,Acrelandia,AC,2025,2
CHIK,Chikungunya,120001,Acrelandia,AC,2026,0
CHIK,Chikungunya,120005,Assis Brasil,AC,2017,5
CHIK,Chikungunya,120005,Assis Brasil,AC,2018,2
CHIK,Chikungunya,120005,Assis Brasil,AC,2019,1
CHIK,Chikungunya,120005,Assis Brasil,AC,2020,0
CHIK,Chikungunya,120005,Assis Brasil,AC,2021,0
CHIK,Chikungunya,120005,Assis Brasil,AC,2022,0
CHIK,Chikungunya,120005,Assis Brasil,AC,2023,1
CHIK,Chikungunya,120005,Assis Brasil,AC,2024,1
CHIK,Chikungunya,120005,Assis Brasil,AC,2025,0
CHIK,Chikungunya,120005,Assis Brasil,AC,2026,0
CHIK,Chikungunya,120010,Brasileia,AC,2017,55
CHIK,Chikungunya,120010,Brasileia,AC,2018,12
CHIK,Chikungunya,120010,Brasileia,AC,2019,5
CHIK,Chikungunya,120010,Brasileia,AC,2020,4
CHIK,Chikungunya,120010,Brasileia,AC,2021,2
CHIK,Chikungunya,120010,Brasileia,AC,2022,0
CHIK,Chikungunya,120010,Brasileia,AC,2023,6
CHIK,Chikungunya,120010,Brasileia,AC,2024,6
CHIK,Chikungunya,120010,Brasileia,AC,2025,1
CHIK,Chikungunya,120010,Brasileia,AC,2026,0
CHIK,Chikungunya,120013,Bujari,AC,2017,0
CHIK,Chikungunya,120013,Bujari,AC,2018,0
CHIK,Chikungunya,120013,Bujari,AC,2019,0
CHIK,Chikungunya,120013,Bujari,AC,2020,0
CHIK,Chikungunya,120013,Bujari,AC,2021,3
CHIK,Chikungunya,120013,Bujari,AC,2022,0
CHIK,Chikungunya,120013,Bujari,AC,2023,0
CHIK,Chikungunya,120013,Bujari,AC,2024,0
CHIK,Chikungunya,120013,Bujari,AC,2025,0
CHIK,Chikungunya,120013,Bujari,AC,2026,1
CHIK,Chikungunya,120017,Capixaba,AC,2017,0
CHIK,Chikungunya,120017,Capixaba,AC,2018,0
CHIK,Chikungunya,120017,Capixaba,AC,2019,0
CHIK,Chikungunya,120017,Capixaba,AC,2020,1
CHIK,Chikungunya,120017,Capixaba,AC,2021,0
CHIK,Chikungunya,120017,Capixaba,AC,2022,0
CHIK,Chikungunya,120017,Capixaba,AC,2023,6
CHIK,Chikungunya,120017,Capixaba,AC,2024,1
CHIK,Chikungunya,120017,Capixaba,AC,2025,0
CHIK,Chikungunya,120017,Capixaba,AC,2026,0
CHIK,Chikungunya,120020,Cruzeiro do Sul,AC,2017,74
CHIK,Chikungunya,120020,Cruzeiro do Sul,AC,2018,154
CHIK,Chikungunya,120020,Cruzeiro do Sul,AC,2019,6
CHIK,Chikungunya,120020,Cruzeiro do Sul,AC,2020,87
CHIK,Chikungunya,120020,Cruzeiro do Sul,AC,2021,200
CHIK,Chikungunya,120020,Cruzeiro do Sul,AC,2022,84
CHIK,Chikungunya,120020,Cruzeiro do Sul,AC,2023,6
CHIK,Chikungunya,120020,Cruzeiro do Sul,AC,2024,202
CHIK,Chikungunya,120020,Cruzeiro do Sul,AC,2025,369
CHIK,Chikungunya,120020,Cruzeiro do Sul,AC,2026,102
CHIK,Chikungunya,120025,Epitaciolandia,AC,2017,11
CHIK,Chikungunya,120025,Epitaciolandia,AC,2018,4
CHIK,Chikungunya,120025,Epitaciolandia,AC,2019,3
CHIK,Chikungunya,120025,Epitaciolandia,AC,2020,1
CHIK,Chikungunya,120025,Epitaciolandia,AC,2021,1
CHIK,Chikungunya,120025,Epitaciolandia,AC,2022,0
CHIK,Chikungunya,120025,Epitaciolandia,AC,2023,0
CHIK,Chikungunya,120025,Epitaciolandia,AC,2024,0
CHIK,Chikungunya,120025,Epitaciolandia,AC,2025,2
CHIK,Chikungunya,120025,Epitaciolandia,AC,2026,0
CHIK,Chikungunya,120030,Feijo,AC,2017,0
CHIK,Chikungunya,120030,Feijo,AC,2018,6
CHIK,Chikungunya,120030,Feijo,AC,2019,0
CHIK,Chikungunya,120030,Feijo,AC,2020,0
CHIK,Chikungunya,120030,Feijo,AC,2021,5
CHIK,Chikungunya,120030,Feijo,AC,2022,1
CHIK,Chikungunya,120030,Feijo,AC,2023,2
CHIK,Chikungunya,120030,Feijo,AC,2024,1
CHIK,Chikungunya,120030,Feijo,AC,2025,3
CHIK,Chikungunya,120030,Feijo,AC,2026,0
CHIK,Chikungunya,120033,Mancio Lima,AC,2017,0
CHIK,Chikungunya,120033,Mancio Lima,AC,2018,0
CHIK,Chikungunya,120033,Mancio Lima,AC,2019,0
CHIK,Chikungunya,120033,Mancio Lima,AC,2020,7
CHIK,Chikungunya,120033,Mancio Lima,AC,2021,249
CHIK,Chikungunya,120033,Mancio Lima,AC,2022,74
CHIK,Chikungunya,120033,Mancio Lima,AC,2023,2
CHIK,Chikungunya,120033,Mancio Lima,AC,2024,30
CHIK,Chikungunya,120033,Mancio Lima,AC,2025,8
CHIK,Chikungunya,120033,Mancio Lima,AC,2026,1
CHIK,Chikungunya,120034,Manoel Urbano,AC,2017,2
CHIK,Chikungunya,120034,Manoel Urbano,AC,2018,0
CHIK,Chikungunya,120034,Manoel Urbano,AC,2019,0
CHIK,Chikungunya,120034,Manoel Urbano,AC,2020,0
CHIK,Chikungunya,120034,Manoel Urbano,AC,2021,1
CHIK,Chikungunya,120034,Manoel Urbano,AC,2022,0
CHIK,Chikungunya,120034,Manoel Urbano,AC,2023,0
CHIK,Chikungunya,120034,Manoel Urbano,AC,2024,18
CHIK,Chikungunya,120034,Manoel Urbano,AC,2025,1
CHIK,Chikungunya,120034,Manoel Urbano,AC,2026,0
CHIK,Chikungunya,120035,Marechal Thaumaturgo,AC,2017,0
CHIK,Chikungunya,120035,Marechal Thaumaturgo,AC,2018,0
CHIK,Chikungunya,120035,Marechal Thaumaturgo,AC,2019,0
CHIK,Chikungunya,120035,Marechal Thaumaturgo,AC,2020,0
CHIK,Chikungunya,120035,Marechal Thaumaturgo,AC,2021,2
CHIK,Chikungunya,120035,Marechal Thaumaturgo,AC,2022,0
CHIK,Chikungunya,120035,Marechal Thaumaturgo,AC,2023,0
CHIK,Chikungunya,120035,Marechal Thaumaturgo,AC,2024,6
CHIK,Chikungunya,120035,Marechal Thaumaturgo,AC,2025,3
CHIK,Chikungunya,120035,Marechal Thaumaturgo,AC,2026,0
CHIK,Chikungunya,120038,Placido de Castro,AC,2017,2
CHIK,Chikungunya,120038,Placido de Castro,AC,2018,1
CHIK,Chikungunya,120038,Placido de Castro,AC,2019,1
CHIK,Chikungunya,120038,Placido de Castro,AC,2020,0
CHIK,Chikungunya,120038,Placido de Castro,AC,2021,0
CHIK,Chikungunya,120038,Placido de Castro,AC,2022,0
CHIK,Chikungunya,120038,Placido de Castro,AC,2023,4
CHIK,Chikungunya,120038,Placido de Castro,AC,2024,4
CHIK,Chikungunya,120038,Placido de Castro,AC,2025,0
CHIK,Chikungunya,120038,Placido de Castro,AC,2026,0
CHIK,Chikungunya,120039,Porto Walter,AC,2017,0
CHIK,Chikungunya,120039,Porto Walter,AC,2018,0
CHIK,Chikungunya,120039,Porto Walter,AC,2019,0
CHIK,Chikungunya,120039,Porto Walter,AC,2020,0
CHIK,Chikungunya,120039,Porto Walter,AC,2021,0
CHIK,Chikungunya,120039,Porto Walter,AC,2022,0
CHIK,Chikungunya,120039,Porto Walter,AC,2023,0
CHIK,Chikungunya,120039,Porto Walter,AC,2024,1
CHIK,Chikungunya,120039,Porto Walter,AC,2025,4
CHIK,Chikungunya,120039,Porto Walter,AC,2026,0
CHIK,Chikungunya,120040,Rio Branco,AC,2017,209
CHIK,Chikungunya,120040,Rio Branco,AC,2018,326
CHIK,Chikungunya,120040,Rio Branco,AC,2019,101
CHIK,Chikungunya,120040,Rio Branco,AC,2020,166
CHIK,Chikungunya,120040,Rio Branco,AC,2021,109
CHIK,Chikungunya,120040,Rio Branco,AC,2022,43
CHIK,Chikungunya,120040,Rio Branco,AC,2023,263
CHIK,Chikungunya,120040,Rio Branco,AC,2024,565
CHIK,Chikungunya,120040,Rio Branco,AC,2025,957
CHIK,Chikungunya,120040,Rio Branco,AC,2026,60
CHIK,Chikungunya,120042,Rodrigues Alves,AC,2017,1
CHIK,Chikungunya,120042,Rodrigues Alves,AC,2018,1
CHIK,Chikungunya,120042,Rodrigues Alves,AC,2019,0
CHIK,Chikungunya,120042,Rodrigues Alves,AC,2020,0
CHIK,Chikungunya,120042,Rodrigues Alves,AC,2021,11
CHIK,Chikungunya,120042,Rodrigues Alves,AC,2022,0
CHIK,Chikungunya,120042,Rodrigues Alves,AC,2023,0
CHIK,Chikungunya,120042,Rodrigues Alves,AC,2024,4
CHIK,Chikungunya,120042,Rodrigues Alves,AC,2025,5
CHIK,Chikungunya,120042,Rodrigues Alves,AC,2026,1
CHIK,Chikungunya,120045,Senador Guiomard,AC,2017,1
CHIK,Chikungunya,120045,Senador Guiomard,AC,2018,2
CHIK,Chikungunya,120045,Senador Guiomard,AC,2019,1
CHIK,Chikungunya,120045,Senador Guiomard,AC,2020,0
CHIK,Chikungunya,120045,Senador Guiomard,AC,2021,1
CHIK,Chikungunya,120045,Senador Guiomard,AC,2022,0
CHIK,Chikungunya,120045,Senador Guiomard,AC,2023,2
CHIK,Chikungunya,120045,Senador Guiomard,AC,2024,3
CHIK,Chikungunya,120045,Senador Guiomard,AC,2025,2
CHIK,Chikungunya,120045,Senador Guiomard,AC,2026,0
CHIK,Chikungunya,120050,Sena Madureira,AC,2017,0
CHIK,Chikungunya,120050,Sena Madureira,AC,2018,0
CHIK,Chikungunya,120050,Sena Madureira,AC,2019,0
CHIK,Chikungunya,120050,Sena Madureira,AC,2020,0
CHIK,Chikungunya,120050,Sena Madureira,AC,2021,0
CHIK,Chikungunya,120050,Sena Madureira,AC,2022,0
CHIK,Chikungunya,120050,Sena Madureira,AC,2023,4
CHIK,Chikungunya,120050,Sena Madureira,AC,2024,0
CHIK,Chikungunya,120050,Sena Madureira,AC,2025,6
CHIK,Chikungunya,120050,Sena Madureira,AC,2026,0
CHIK,Chikungunya,120060,Tarauaca,AC,2017,0
CHIK,Chikungunya,120060,Tarauaca,AC,2018,129
CHIK,Chikungunya,120060,Tarauaca,AC,2019,31
CHIK,Chikungunya,120060,Tarauaca,AC,2020,2
CHIK,Chikungunya,120060,Tarauaca,AC,2021,73
CHIK,Chikungunya,120060,Tarauaca,AC,2022,0
CHIK,Chikungunya,120060,Tarauaca,AC,2023,0
CHIK,Chikungunya,120060,Tarauaca,AC,2024,4
CHIK,Chikungunya,120060,Tarauaca,AC,2025,2
CHIK,Chikungunya,120060,Tarauaca,AC,2026,0
CHIK,Chikungunya,120070,Xapuri,AC,2017,3
CHIK,Chikungunya,120070,Xapuri,AC,2018,2
CHIK,Chikungunya,120070,Xapuri,AC,2019,2
CHIK,Chikungunya,120070,Xapuri,AC,2020,0
CHIK,Chikungunya,120070,Xapuri,AC,2021,9
CHIK,Chikungunya,120070,Xapuri,AC,2022,0
CHIK,Chikungunya,120070,Xapuri,AC,2023,0
CHIK,Chikungunya,120070,Xapuri,AC,2024,1
CHIK,Chikungunya,120070,Xapuri,AC,2025,1
CHIK,Chikungunya,120070,Xapuri,AC,2026,3
CHIK,Chikungunya,120080,Porto Acre,AC,2017,0
CHIK,Chikungunya,120080,Porto Acre,AC,2018,1
CHIK,Chikungunya,120080,Porto Acre,AC,2019,0
CHIK,Chikungunya,120080,Porto Acre,AC,2020,0
CHIK,Chikungunya,120080,Porto Acre,AC,2021,0
CHIK,Chikungunya,120080,Porto Acre,AC,2022,0
CHIK,Chikungunya,120080,Porto Acre,AC,2023,1
CHIK,Chikungunya,120080,Porto Acre,AC,2024,0
CHIK,Chikungunya,120080,Porto Acre,AC,2025,2
CHIK,Chikungunya,120080,Porto Acre,AC,2026,0
CHIK,Chikungunya,270010,Agua Branca,AL,2017,3
CHIK,Chikungunya,270010,Agua Branca,AL,2018,0
CHIK,Chikungunya,270010,Agua Branca,AL,2019,0
CHIK,Chikungunya,270010,Agua Branca,AL,2020,0
CHIK,Chikungunya,270010,Agua Branca,AL,2021,0
CHIK,Chikungunya,270010,Agua Branca,AL,2022,5
CHIK,Chikungunya,270010,Agua Branca,AL,2023,1
CHIK,Chikungunya,270010,Agua Branca,AL,2024,1
CHIK,Chikungunya,270010,Agua Branca,AL,2025,0
CHIK,Chikungunya,270010,Agua Branca,AL,2026,0
CHIK,Chikungunya,270020,Anadia,AL,2017,0
CHIK,Chikungunya,270020,Anadia,AL,2018,0
CHIK,Chikungunya,270020,Anadia,AL,2019,0
CHIK,Chikungunya,270020,Anadia,AL,2020,1
CHIK,Chikungunya,270020,Anadia,AL,2021,1
CHIK,Chikungunya,270020,Anadia,AL,2022,0
CHIK,Chikungunya,270020,Anadia,AL,2023,0
CHIK,Chikungunya,270020,Anadia,AL,2024,1
CHIK,Chikungunya,270020,Anadia,AL,2025,78
CHIK,Chikungunya,270020,Anadia,AL,2026,62
CHIK,Chikungunya,270030,Arapiraca,AL,2017,28
CHIK,Chikungunya,270030,Arapiraca,AL,2018,12
CHIK,Chikungunya,270030,Arapiraca,AL,2019,418
CHIK,Chikungunya,270030,Arapiraca,AL,2020,8
CHIK,Chikungunya,270030,Arapiraca,AL,2021,7
CHIK,Chikungunya,270030,Arapiraca,AL,2022,95
CHIK,Chikungunya,270030,Arapiraca,AL,2023,19
CHIK,Chikungunya,270030,Arapiraca,AL,2024,12
CHIK,Chikungunya,270030,Arapiraca,AL,2025,105
CHIK,Chikungunya,270030,Arapiraca,AL,2026,6
CHIK,Chikungunya,270040,Atalaia,AL,2017,3
CHIK,Chikungunya,270040,Atalaia,AL,2018,0
CHIK,Chikungunya,270040,Atalaia,AL,2019,3
CHIK,Chikungunya,270040,Atalaia,AL,2020,1
CHIK,Chikungunya,270040,Atalaia,AL,2021,7
CHIK,Chikungunya,270040,Atalaia,AL,2022,867
CHIK,Chikungunya,270040,Atalaia,AL,2023,0
CHIK,Chikungunya,270040,Atalaia,AL,2024,13
CHIK,Chikungunya,270040,Atalaia,AL,2025,58
CHIK,Chikungunya,270040,Atalaia,AL,2026,6
CHIK,Chikungunya,270050,Barra de Santo Antonio,AL,2017,2
CHIK,Chikungunya,270050,Barra de Santo Antonio,AL,2018,0
CHIK,Chikungunya,270050,Barra de Santo Antonio,AL,2019,2
