doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
COQUE,Coqueluche,120001,Acrelandia,AC,2000,0
COQUE,Coqueluche,120001,Acrelandia,AC,2002,0
COQUE,Coqueluche,120001,Acrelandia,AC,2003,0
COQUE,Coqueluche,120001,Acrelandia,AC,2004,0
COQUE,Coqueluche,120001,Acrelandia,AC,2005,0
COQUE,Coqueluche,120001,Acrelandia,AC,2006,0
COQUE,Coqueluche,120001,Acrelandia,AC,2007,0
COQUE,Coqueluche,120001,Acrelandia,AC,2008,0
COQUE,Coqueluche,120001,Acrelandia,AC,2009,0
COQUE,Coqueluche,120001,Acrelandia,AC,2010,0
COQUE,Coqueluche,120001,Acrelandia,AC,2011,0
COQUE,Coqueluche,120001,Acrelandia,AC,2012,0
COQUE,Coqueluche,120001,Acrelandia,AC,2013,0
COQUE,Coqueluche,120001,Acrelandia,AC,2014,1
COQUE,Coqueluche,120001,Acrelandia,AC,2015,0
COQUE,Coqueluche,120001,Acrelandia,AC,2016,0
COQUE,Coqueluche,120001,Acrelandia,AC,2017,0
COQUE,Coqueluche,120001,Acrelandia,AC,2018,0
COQUE,Coqueluche,120001,Acrelandia,AC,2019,0
COQUE,Coqueluche,120001,Acrelandia,AC,2020,0
COQUE,Coqueluche,120001,Acrelandia,AC,2021,0
COQUE,Coqueluche,120001,Acrelandia,AC,2022,0
COQUE,Coqueluche,120001,Acrelandia,AC,2023,0
COQUE,Coqueluche,120001,Acrelandia,AC,2024,0
COQUE,Coqueluche,120001,Acrelandia,AC,2025,0
COQUE,Coqueluche,120001,Acrelandia,AC,2026,0
COQUE,Coqueluche,120010,Brasileia,AC,2000,0
COQUE,Coqueluche,120010,Brasileia,AC,2002,0
COQUE,Coqueluche,120010,Brasileia,AC,2003,0
COQUE,Coqueluche,120010,Brasileia,AC,2004,0
COQUE,Coqueluche,120010,Brasileia,AC,2005,0
COQUE,Coqueluche,120010,Brasileia,AC,2006,0
COQUE,Coqueluche,120010,Brasileia,AC,2007,0
COQUE,Coqueluche,120010,Brasileia,AC,2008,0
COQUE,Coqueluche,120010,Brasileia,AC,2009,0
COQUE,Coqueluche,120010,Brasileia,AC,2010,0
COQUE,Coqueluche,120010,Brasileia,AC,2011,0
COQUE,Coqueluche,120010,Brasileia,AC,2012,0
COQUE,Coqueluche,120010,Brasileia,AC,2013,0
COQUE,Coqueluche,120010,Brasileia,AC,2014,0
COQUE,Coqueluche,120010,Brasileia,AC,2015,0
COQUE,Coqueluche,120010,Brasileia,AC,2016,0
COQUE,Coqueluche,120010,Brasileia,AC,2017,1
COQUE,Coqueluche,120010,Brasileia,AC,2018,1
COQUE,Coqueluche,120010,Brasileia,AC,2019,0
COQUE,Coqueluche,120010,Brasileia,AC,2020,0
COQUE,Coqueluche,120010,Brasileia,AC,2021,0
COQUE,Coqueluche,120010,Brasileia,AC,2022,0
COQUE,Coqueluche,120010,Brasileia,AC,2023,0
COQUE,Coqueluche,120010,Brasileia,AC,2024,0
COQUE,Coqueluche,120010,Brasileia,AC,2025,0
COQUE,Coqueluche,120010,Brasileia,AC,2026,1
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2000,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2002,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2003,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2004,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2005,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2006,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2007,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2008,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2009,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2010,1
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2011,9
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2012,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2013,1
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2014,25
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2015,10
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2016,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2017,1
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2018,1
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2019,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2020,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2021,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2022,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2023,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2024,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2025,0
COQUE,Coqueluche,120020,Cruzeiro do Sul,AC,2026,0
COQUE,Coqueluche,120032,Jordao,AC,2000,0
COQUE,Coqueluche,120032,Jordao,AC,2002,0
COQUE,Coqueluche,120032,Jordao,AC,2003,0
COQUE,Coqueluche,120032,Jordao,AC,2004,0
COQUE,Coqueluche,120032,Jordao,AC,2005,0
