doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
DENG,Dengue,000000,Ignorado ou exterior,,2014,0
DENG,Dengue,000000,Ignorado ou exterior,,2015,0
DENG,Dengue,000000,Ignorado ou exterior,,2016,13
DENG,Dengue,000000,Ignorado ou exterior,,2017,0
DENG,Dengue,000000,Ignorado ou exterior,,2018,0
DENG,Dengue,000000,Ignorado ou exterior,,2019,0
DENG,Dengue,000000,Ignorado ou exterior,,2020,0
DENG,Dengue,000000,Ignorado ou exterior,,2021,0
DENG,Dengue,000000,Ignorado ou exterior,,2022,0
DENG,Dengue,000000,Ignorado ou exterior,,2023,0
DENG,Dengue,000000,Ignorado ou exterior,,2024,0
DENG,Dengue,000000,Ignorado ou exterior,,2025,0
DENG,Dengue,000000,Ignorado ou exterior,,2026,0
DENG,Dengue,120001,Acrelandia,AC,2007,13
DENG,Dengue,120001,Acrelandia,AC,2008,6
DENG,Dengue,120001,Acrelandia,AC,2009,7
DENG,Dengue,120001,Acrelandia,AC,2010,362
DENG,Dengue,120001,Acrelandia,AC,2011,72
DENG,Dengue,120001,Acrelandia,AC,2012,1
DENG,Dengue,120001,Acrelandia,AC,2013,464
DENG,Dengue,120001,Acrelandia,AC,2014,2
DENG,Dengue,120001,Acrelandia,AC,2015,5
DENG,Dengue,120001,Acrelandia,AC,2016,4
DENG,Dengue,120001,Acrelandia,AC,2017,140
DENG,Dengue,120001,Acrelandia,AC,2018,61
DENG,Dengue,120001,Acrelandia,AC,2019,8
DENG,Dengue,120001,Acrelandia,AC,2020,33
DENG,Dengue,120001,Acrelandia,AC,2021,175
DENG,Dengue,120001,Acrelandia,AC,2022,7
DENG,Dengue,120001,Acrelandia,AC,2023,36
DENG,Dengue,120001,Acrelandia,AC,2024,7
DENG,Dengue,120001,Acrelandia,AC,2025,12
DENG,Dengue,120001,Acrelandia,AC,2026,1
DENG,Dengue,120005,Assis Brasil,AC,2007,1
DENG,Dengue,120005,Assis Brasil,AC,2008,0
DENG,Dengue,120005,Assis Brasil,AC,2009,31
DENG,Dengue,120005,Assis Brasil,AC,2010,249
DENG,Dengue,120005,Assis Brasil,AC,2011,69
DENG,Dengue,120005,Assis Brasil,AC,2012,47
DENG,Dengue,120005,Assis Brasil,AC,2013,110
DENG,Dengue,120005,Assis Brasil,AC,2014,19
DENG,Dengue,120005,Assis Brasil,AC,2015,6
DENG,Dengue,120005,Assis Brasil,AC,2016,482
DENG,Dengue,120005,Assis Brasil,AC,2017,2
DENG,Dengue,120005,Assis Brasil,AC,2018,4
