doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2007,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2008,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2009,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2010,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2011,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2013,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2014,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2015,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2016,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2017,1
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2018,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2019,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2020,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2021,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2022,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2023,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2024,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2025,0
DIFT,Difteria,120020,Cruzeiro do Sul,AC,2026,0
DIFT,Difteria,120040,Rio Branco,AC,2007,0
DIFT,Difteria,120040,Rio Branco,AC,2008,0
DIFT,Difteria,120040,Rio Branco,AC,2009,0
DIFT,Difteria,120040,Rio Branco,AC,2010,0
DIFT,Difteria,120040,Rio Branco,AC,2011,0
DIFT,Difteria,120040,Rio Branco,AC,2013,0
DIFT,Difteria,120040,Rio Branco,AC,2014,1
DIFT,Difteria,120040,Rio Branco,AC,2015,1
DIFT,Difteria,120040,Rio Branco,AC,2016,0
DIFT,Difteria,120040,Rio Branco,AC,2017,0
DIFT,Difteria,120040,Rio Branco,AC,2018,0
DIFT,Difteria,120040,Rio Branco,AC,2019,0
DIFT,Difteria,120040,Rio Branco,AC,2020,0
DIFT,Difteria,120040,Rio Branco,AC,2021,0
DIFT,Difteria,120040,Rio Branco,AC,2022,0
DIFT,Difteria,120040,Rio Branco,AC,2023,0
DIFT,Difteria,120040,Rio Branco,AC,2024,0
DIFT,Difteria,120040,Rio Branco,AC,2025,0
DIFT,Difteria,120040,Rio Branco,AC,2026,0
DIFT,Difteria,270430,Maceio,AL,2007,2
DIFT,Difteria,270430,Maceio,AL,2008,0
DIFT,Difteria,270430,Maceio,AL,2009,0
DIFT,Difteria,270430,Maceio,AL,2010,0
DIFT,Difteria,270430,Maceio,AL,2011,0
DIFT,Difteria,270430,Maceio,AL,2013,0
DIFT,Difteria,270430,Maceio,AL,2014,0
DIFT,Difteria,270430,Maceio,AL,2015,0
DIFT,Difteria,270430,Maceio,AL,2016,0
DIFT,Difteria,270430,Maceio,AL,2017,0
DIFT,Difteria,270430,Maceio,AL,2018,0
DIFT,Difteria,270430,Maceio,AL,2019,0
DIFT,Difteria,270430,Maceio,AL,2020,0
DIFT,Difteria,270430,Maceio,AL,2021,0
DIFT,Difteria,270430,Maceio,AL,2022,0
DIFT,Difteria,270430,Maceio,AL,2023,0
DIFT,Difteria,270430,Maceio,AL,2024,0
DIFT,Difteria,270430,Maceio,AL,2025,0
DIFT,Difteria,270430,Maceio,AL,2026,0
DIFT,Difteria,130260,Manaus,AM,2007,1
DIFT,Difteria,130260,Manaus,AM,2008,0
DIFT,Difteria,130260,Manaus,AM,2009,0
DIFT,Difteria,130260,Manaus,AM,2010,1
DIFT,Difteria,130260,Manaus,AM,2011,0
DIFT,Difteria,130260,Manaus,AM,2013,0
DIFT,Difteria,130260,Manaus,AM,2014,0
DIFT,Difteria,130260,Manaus,AM,2015,0
DIFT,Difteria,130260,Manaus,AM,2016,0
DIFT,Difteria,130260,Manaus,AM,2017,0
DIFT,Difteria,130260,Manaus,AM,2018,0
DIFT,Difteria,130260,Manaus,AM,2019,0
DIFT,Difteria,130260,Manaus,AM,2020,0
DIFT,Difteria,130260,Manaus,AM,2021,0
DIFT,Difteria,130260,Manaus,AM,2022,0
DIFT,Difteria,130260,Manaus,AM,2023,0
DIFT,Difteria,130260,Manaus,AM,2024,0
DIFT,Difteria,130260,Manaus,AM,2025,0
DIFT,Difteria,130260,Manaus,AM,2026,0
DIFT,Difteria,230430,Farias Brito,CE,2007,0
DIFT,Difteria,230430,Farias Brito,CE,2008,0
DIFT,Difteria,230430,Farias Brito,CE,2009,0
DIFT,Difteria,230430,Farias Brito,CE,2010,0
DIFT,Difteria,230430,Farias Brito,CE,2011,0
DIFT,Difteria,230430,Farias Brito,CE,2013,0
DIFT,Difteria,230430,Farias Brito,CE,2014,0
DIFT,Difteria,230430,Farias Brito,CE,2015,0
DIFT,Difteria,230430,Farias Brito,CE,2016,0
DIFT,Difteria,230430,Farias Brito,CE,2017,0
DIFT,Difteria,230430,Farias Brito,CE,2018,0
DIFT,Difteria,230430,Farias Brito,CE,2019,0
DIFT,Difteria,230430,Farias Brito,CE,2020,1
DIFT,Difteria,230430,Farias Brito,CE,2021,0
DIFT,Difteria,230430,Farias Brito,CE,2022,0
DIFT,Difteria,230430,Farias Brito,CE,2023,0
DIFT,Difteria,230430,Farias Brito,CE,2024,0
DIFT,Difteria,230430,Farias Brito,CE,2025,0
DIFT,Difteria,230430,Farias Brito,CE,2026,0
DIFT,Difteria,530010,Brasilia,DF,2007,0
DIFT,Difteria,530010,Brasilia,DF,2008,0
DIFT,Difteria,530010,Brasilia,DF,2009,1
DIFT,Difteria,530010,Brasilia,DF,2010,0
DIFT,Difteria,530010,Brasilia,DF,2011,0
DIFT,Difteria,530010,Brasilia,DF,2013,0
DIFT,Difteria,530010,Brasilia,DF,2014,0
DIFT,Difteria,530010,Brasilia,DF,2015,0
DIFT,Difteria,530010,Brasilia,DF,2016,0
DIFT,Difteria,530010,Brasilia,DF,2017,0
DIFT,Difteria,530010,Brasilia,DF,2018,0
DIFT,Difteria,530010,Brasilia,DF,2019,0
DIFT,Difteria,530010,Brasilia,DF,2020,0
DIFT,Difteria,530010,Brasilia,DF,2021,0
DIFT,Difteria,530010,Brasilia,DF,2022,0
DIFT,Difteria,530010,Brasilia,DF,2023,0
DIFT,Difteria,530010,Brasilia,DF,2024,0
