doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2007,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2008,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2009,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2010,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2011,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2012,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2013,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2014,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2015,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2016,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2017,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2018,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2019,1
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2020,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2021,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2022,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2023,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2024,0
ESQUISTO,Esquistossomose,120020,Cruzeiro do Sul,AC,2025,0
ESQUISTO,Esquistossomose,120035,Marechal Thaumaturgo,AC,2007,0
ESQUISTO,Esquistossomose,120035,Marechal Thaumaturgo,AC,2008,0
ESQUISTO,Esquistossomose,120035,Marechal Thaumaturgo,AC,2009,0
ESQUISTO,Esquistossomose,120035,Marechal Thaumaturgo,AC,2010,0
ESQUISTO,Esquistossomose,120035,Marechal Thaumaturgo,AC,2011,0
ESQUISTO,Esquistossomose,120035,Marechal Thaumaturgo,AC,2012,0
ESQUISTO,Esquistossomose,120035,Marechal Thaumaturgo,AC,2013,0
ESQUISTO,Esquistossomose,120035,Marechal Thaumaturgo,AC,2014,0
ESQUISTO,Esquistossomose,120035,Marechal Thaumaturgo,AC,2015,0
ESQUISTO,Esquistossomose,120035,Marechal Thaumaturgo,AC,2016,0
ESQUISTO,Esquistossomose,120035,Marechal Thaumaturgo,AC,2017,0
