doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2007,1
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2008,0
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2009,0
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2010,0
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2011,0
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2012,0
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2013,0
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2014,0
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2015,0
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2016,0
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2017,0
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2018,1
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2019,0
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2020,1
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2021,0
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2022,0
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2023,0
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2024,1
EXANT,Sarampo e Rubéola,120001,Acrelandia,AC,2025,5
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2007,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2008,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2009,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2010,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2011,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2012,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2013,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2014,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2015,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2016,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2017,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2018,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2019,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2020,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2021,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2022,2
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2023,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2024,0
EXANT,Sarampo e Rubéola,120005,Assis Brasil,AC,2025,1
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2007,2
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2008,5
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2009,7
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2010,4
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2011,0
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2012,0
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2013,1
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2014,5
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2015,0
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2016,0
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2017,0
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2018,1
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2019,0
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2020,0
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2021,0
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2022,0
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2023,0
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2024,1
EXANT,Sarampo e Rubéola,120010,Brasileia,AC,2025,13
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2007,0
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2008,0
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2009,2
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2010,0
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2011,0
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2012,0
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2013,0
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2014,0
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2015,0
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2016,0
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2017,0
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2018,8
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2019,0
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2020,0
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2021,0
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2022,0
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2023,0
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2024,0
EXANT,Sarampo e Rubéola,120017,Capixaba,AC,2025,0
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2007,2
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2008,0
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2009,2
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2010,2
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2011,3
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2012,1
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2013,3
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2014,1
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2015,2
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2016,1
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2017,1
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2018,2
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2019,2
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2020,0
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2021,0
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2022,1
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2023,0
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2024,1
EXANT,Sarampo e Rubéola,120020,Cruzeiro do Sul,AC,2025,5
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2007,1
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2008,0
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2009,0
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2010,0
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2011,0
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2012,0
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2013,0
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2014,2
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2015,0
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2016,0
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2017,0
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2018,0
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2019,0
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2020,0
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2021,0
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2022,0
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2023,0
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2024,0
EXANT,Sarampo e Rubéola,120025,Epitaciolandia,AC,2025,1
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2007,2
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2008,0
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2009,1
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2010,0
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2011,3
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2012,0
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2013,0
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2014,0
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2015,0
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2016,0
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2017,0
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2018,0
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2019,1
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2020,0
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2021,0
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2022,0
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2023,0
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2024,0
EXANT,Sarampo e Rubéola,120030,Feijo,AC,2025,1
EXANT,Sarampo e Rubéola,120033,Mancio Lima,AC,2007,0
EXANT,Sarampo e Rubéola,120033,Mancio Lima,AC,2008,0
EXANT,Sarampo e Rubéola,120033,Mancio Lima,AC,2009,0
EXANT,Sarampo e Rubéola,120033,Mancio Lima,AC,2010,0
EXANT,Sarampo e Rubéola,120033,Mancio Lima,AC,2011,0
EXANT,Sarampo e Rubéola,120033,Mancio Lima,AC,2012,1
EXANT,Sarampo e Rubéola,120033,Mancio Lima,AC,2013,0
EXANT,Sarampo e Rubéola,120033,Mancio Lima,AC,2014,0
EXANT,Sarampo e Rubéola,120033,Mancio Lima,AC,2015,0
EXANT,Sarampo e Rubéola,120033,Mancio Lima,AC,2016,0
EXANT,Sarampo e Rubéola,120033,Mancio Lima,AC,2017,0
EXANT,Sarampo e Rubéola,120033,Mancio Lima,AC,2018,0
