doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
FA,Febre Amarela,120001,Acrelândia,AC,2020,1
FA,Febre Amarela,120038,Plácido de Castro,AC,2000,1
FA,Febre Amarela,130010,Anori,AM,1996,1
FA,Febre Amarela,130010,Anori,AM,2013,1
FA,Febre Amarela,130010,Anori,AM,2024,1
FA,Febre Amarela,130030,Autazes,AM,2017,1
FA,Febre Amarela,130040,Barcelos,AM,1996,1
FA,Febre Amarela,130040,Barcelos,AM,2002,1
FA,Febre Amarela,130070,Boca do Acre,AM,1999,1
FA,Febre Amarela,130080,Borba,AM,2001,2
FA,Febre Amarela,130110,Careiro,AM,1996,1
FA,Febre Amarela,130120,Coari,AM,2002,2
FA,Febre Amarela,130120,Coari,AM,2005,1
FA,Febre Amarela,130130,Codajás,AM,2005,1
FA,Febre Amarela,130130,Codajás,AM,2019,1
FA,Febre Amarela,130170,Humaitá,AM,2018,1
FA,Febre Amarela,130185,Iranduba,AM,1996,1
FA,Febre Amarela,130185,Iranduba,AM,2004,1
FA,Febre Amarela,130185,Iranduba,AM,2006,1
FA,Febre Amarela,130185,Iranduba,AM,2007,1
FA,Febre Amarela,130190,Itacoatiara,AM,1999,3
FA,Febre Amarela,130190,Itacoatiara,AM,2001,1
FA,Febre Amarela,130190,Itacoatiara,AM,2004,1
FA,Febre Amarela,130200,Itapiranga,AM,2016,1
FA,Febre Amarela,130250,Manacapuru,AM,1996,2
FA,Febre Amarela,130250,Manacapuru,AM,2000,1
FA,Febre Amarela,130250,Manacapuru,AM,2002,1
FA,Febre Amarela,130250,Manacapuru,AM,2007,1
FA,Febre Amarela,130250,Manacapuru,AM,2016,1
FA,Febre Amarela,130250,Manacapuru,AM,2023,1
FA,Febre Amarela,130255,Manaquiri,AM,1996,2
FA,Febre Amarela,130260,Manaus,AM,1996,1
FA,Febre Amarela,130260,Manaus,AM,2004,1
FA,Febre Amarela,130280,Maraã,AM,2023,1
FA,Febre Amarela,130290,Maués,AM,2007,1
FA,Febre Amarela,130320,Novo Airão,AM,1999,1
FA,Febre Amarela,130320,Novo Airão,AM,2013,1
FA,Febre Amarela,130353,Presidente Figueiredo,AM,1998,2
FA,Febre Amarela,130353,Presidente Figueiredo,AM,2024,1
FA,Febre Amarela,130356,Rio Preto da Eva,AM,1996,1
FA,Febre Amarela,130356,Rio Preto da Eva,AM,2002,1
FA,Febre Amarela,130360,Santa Isabel do Rio Negro,AM,1996,2
FA,Febre Amarela,130360,Santa Isabel do Rio Negro,AM,1998,1
FA,Febre Amarela,130406,Tabatinga,AM,1996,1
FA,Febre Amarela,130410,Tapauá,AM,1996,1
FA,Febre Amarela,130440,Urucurituba,AM,2003,1
FA,Febre Amarela,290910,Coribe,BA,2000,10
FA,Febre Amarela,530010,Brasília,DF,2000,2
FA,Febre Amarela,530010,Brasília,DF,2007,1
FA,Febre Amarela,530010,Brasília,DF,2008,5
FA,Febre Amarela,530010,Brasília,DF,2017,2
FA,Febre Amarela,320010,Afonso Cláudio,ES,2017,10
FA,Febre Amarela,320030,Alfredo Chaves,ES,2017,9
FA,Febre Amarela,320030,Alfredo Chaves,ES,2018,1
FA,Febre Amarela,320035,Alto Rio Novo,ES,2017,1
FA,Febre Amarela,320040,Anchieta,ES,2017,1
FA,Febre Amarela,320060,Aracruz,ES,2017,1
FA,Febre Amarela,320080,Baixo Guandu,ES,2017,5
FA,Febre Amarela,320115,Brejetuba,ES,2017,9
FA,Febre Amarela,320120,Cachoeiro de Itapemirim,ES,2017,1
FA,Febre Amarela,320130,Cariacica,ES,2017,5
FA,Febre Amarela,320130,Cariacica,ES,2018,1
FA,Febre Amarela,320140,Castelo,ES,2017,6
FA,Febre Amarela,320150,Colatina,ES,2017,20
FA,Febre Amarela,320160,Conceição da Barra,ES,2017,1
FA,Febre Amarela,320170,Conceição do Castelo,ES,2017,7
FA,Febre Amarela,320190,Domingos Martins,ES,2017,24
FA,Febre Amarela,320240,Guarapari,ES,2017,1
FA,Febre Amarela,320245,Ibatiba,ES,2017,16
FA,Febre Amarela,320255,Ibitirama,ES,2017,1
FA,Febre Amarela,320265,Irupi,ES,2017,4
FA,Febre Amarela,320270,Itaguaçu,ES,2017,4
FA,Febre Amarela,320290,Itarana,ES,2017,5
FA,Febre Amarela,320316,Laranja da Terra,ES,2017,4
FA,Febre Amarela,320320,Linhares,ES,2017,1
FA,Febre Amarela,320334,Marechal Floriano,ES,2017,15
FA,Febre Amarela,320335,Marilândia,ES,2017,2
FA,Febre Amarela,320370,Muniz Freire,ES,2017,5
FA,Febre Amarela,320380,Muqui,ES,2017,1
FA,Febre Amarela,320400,Pancas,ES,2017,5
FA,Febre Amarela,320450,Santa Leopoldina,ES,2017,37
FA,Febre Amarela,320455,Santa Maria de Jetibá,ES,2017,13
FA,Febre Amarela,320460,Santa Teresa,ES,2017,10
FA,Febre Amarela,320490,São Mateus,ES,2017,2
FA,Febre Amarela,320495,São Roque do Canaã,ES,2017,5
FA,Febre Amarela,320500,Serra,ES,2017,11
FA,Febre Amarela,320500,Serra,ES,2018,1
FA,Febre Amarela,320503,Vargem Alta,ES,2017,3
FA,Febre Amarela,320506,Venda Nova do Imigrante,ES,2017,3
FA,Febre Amarela,320510,Viana,ES,2017,5
FA,Febre Amarela,320530,Vitória,ES,2017,2
FA,Febre Amarela,520010,Abadiânia,GO,2008,1
FA,Febre Amarela,520030,Alexânia,GO,2000,1
FA,Febre Amarela,520030,Alexânia,GO,2015,1
FA,Febre Amarela,520060,Alto Paraíso de Goiás,GO,1999,3
FA,Febre Amarela,520060,Alto Paraíso de Goiás,GO,2000,7
FA,Febre Amarela,520060,Alto Paraíso de Goiás,GO,2015,2
FA,Febre Amarela,520082,Amaralina,GO,2000,2
FA,Febre Amarela,520090,Amorinópolis,GO,2017,1
FA,Febre Amarela,520280,Avelinópolis,GO,2000,1
FA,Febre Amarela,520357,Bonópolis,GO,2000,1
FA,Febre Amarela,520400,Cabeceiras,GO,2000,1
FA,Febre Amarela,520420,Cachoeira de Goiás,GO,2000,1
FA,Febre Amarela,520450,Caldas Novas,GO,2008,3
FA,Febre Amarela,520510,Catalão,GO,2008,1
FA,Febre Amarela,520530,Cavalcante,GO,2000,2
FA,Febre Amarela,520552,Colinas do Sul,GO,1999,1
FA,Febre Amarela,520580,Corumbá de Goiás,GO,2000,1
FA,Febre Amarela,520590,Corumbaíba,GO,2000,1
FA,Febre Amarela,520630,Cristianópolis,GO,2008,2
FA,Febre Amarela,520640,Crixás,GO,2008,1
FA,Febre Amarela,520660,Cumari,GO,2015,1
FA,Febre Amarela,520725,Doverlândia,GO,2000,2
FA,Febre Amarela,520790,Flores de Goiás,GO,2000,1
FA,Febre Amarela,520860,Goianésia,GO,2007,1
FA,Febre Amarela,520870,Goiânia,GO,2007,1
FA,Febre Amarela,520870,Goiânia,GO,2016,1
FA,Febre Amarela,520890,Goiás,GO,1999,1
FA,Febre Amarela,521060,Itaguaru,GO,2000,1
FA,Febre Amarela,521180,Jaraguá,GO,2000,1
FA,Febre Amarela,521190,Jataí,GO,2007,2
FA,Febre Amarela,521220,Jussara,GO,2000,1
FA,Febre Amarela,521250,Luziânia,GO,2007,1
FA,Febre Amarela,521250,Luziânia,GO,2008,2
FA,Febre Amarela,521280,Mara Rosa,GO,2000,1
FA,Febre Amarela,521290,Marzagão,GO,2008,1
FA,Febre Amarela,521305,Mimoso de Goiás,GO,2000,2
FA,Febre Amarela,521308,Minaçu,GO,1999,4
FA,Febre Amarela,521308,Minaçu,GO,2000,1
FA,Febre Amarela,521460,Niquelândia,GO,1999,1
FA,Febre Amarela,521460,Niquelândia,GO,2000,4
FA,Febre Amarela,521460,Niquelândia,GO,2015,1
FA,Febre Amarela,521490,Nova Roma,GO,2000,2
FA,Febre Amarela,521520,Novo Brasil,GO,2000,1
FA,Febre Amarela,521560,Padre Bernardo,GO,2000,3
FA,Febre Amarela,521560,Padre Bernardo,GO,2008,1
FA,Febre Amarela,521730,Pirenópolis,GO,2007,1
FA,Febre Amarela,521730,Pirenópolis,GO,2008,2
FA,Febre Amarela,521760,Planaltina,GO,2000,7
FA,Febre Amarela,521760,Planaltina,GO,2008,1
FA,Febre Amarela,521890,Rubiataba,GO,2008,2
FA,Febre Amarela,521925,Santa fé de Goiás,GO,2000,1
FA,Febre Amarela,522000,São João D'aliança,GO,1999,1
FA,Febre Amarela,522000,São João D'aliança,GO,2000,2
FA,Febre Amarela,522010,São Luís de Montes Belos,GO,2016,1
FA,Febre Amarela,522020,São Miguel do Araguaia,GO,2015,1
FA,Febre Amarela,522045,Senador Canedo,GO,2016,1
FA,Febre Amarela,522050,Serranópolis,GO,2000,1
FA,Febre Amarela,522108,Teresina de Goiás,GO,2000,1
FA,Febre Amarela,522160,Uruaçu,GO,2000,1
FA,Febre Amarela,522160,Uruaçu,GO,2007,1
FA,Febre Amarela,522170,Uruana,GO,2000,1
FA,Febre Amarela,522230,Vila Propício,GO,2000,1
FA,Febre Amarela,210060,Amarante do Maranhão,MA,1995,2
FA,Febre Amarela,310040,Acaiaca,MG,2018,4
FA,Febre Amarela,310060,Água Boa,MG,2017,1
FA,Febre Amarela,310080,Aguanil,MG,2018,1
FA,Febre Amarela,310110,Aimorés,MG,2017,5
FA,Febre Amarela,310210,Alto Rio Doce,MG,2018,1
FA,Febre Amarela,310220,Alvarenga,MG,2017,2
FA,Febre Amarela,310230,Alvinópolis,MG,2018,1
FA,Febre Amarela,310240,Alvorada de Minas,MG,2003,6
FA,Febre Amarela,310250,Amparo do Serra,MG,2018,1
FA,Febre Amarela,310290,Antônio Carlos,MG,2018,2
FA,Febre Amarela,310340,Araçuaí,MG,2017,1
FA,Febre Amarela,310490,Baependi,MG,2018,2
FA,Febre Amarela,310540,Barão de Cocais,MG,2018,24
FA,Febre Amarela,310560,Barbacena,MG,2018,2
FA,Febre Amarela,310570,Barra Longa,MG,2017,1
FA,Febre Amarela,310570,Barra Longa,MG,2018,1
FA,Febre Amarela,310590,Barroso,MG,2018,1
FA,Febre Amarela,310620,Belo Horizonte,MG,2018,3
FA,Febre Amarela,310640,Belo Vale,MG,2018,3
FA,Febre Amarela,310690,Bicas,MG,2018,2
FA,Febre Amarela,310740,Bom Despacho,MG,2001,4
FA,Febre Amarela,310750,Bom Jardim de Minas,MG,2018,1
FA,Febre Amarela,310770,Bom Jesus do Amparo,MG,2018,1
FA,Febre Amarela,310780,Bom Jesus do Galho,MG,2017,6
FA,Febre Amarela,310890,Brazópolis,MG,2018,4
FA,Febre Amarela,310900,Brumadinho,MG,2017,2
FA,Febre Amarela,310900,Brumadinho,MG,2018,13
FA,Febre Amarela,311000,Caeté,MG,2018,16
FA,Febre Amarela,311050,Camanducaia,MG,2024,1
FA,Febre Amarela,311060,Cambuí,MG,2018,1
FA,Febre Amarela,311060,Cambuí,MG,2025,1
FA,Febre Amarela,311070,Cambuquira,MG,2018,1
FA,Febre Amarela,311170,Canaã,MG,2017,1
FA,Febre Amarela,311230,Capelinha,MG,2017,1
FA,Febre Amarela,311280,Capitólio,MG,2017,2
FA,Febre Amarela,311290,Caputira,MG,2017,1
FA,Febre Amarela,311300,Caraí,MG,2017,1
FA,Febre Amarela,311310,Caranaíba,MG,2018,1
FA,Febre Amarela,311320,Carandaí,MG,2018,2
FA,Febre Amarela,311330,Carangola,MG,2017,2
FA,Febre Amarela,311340,Caratinga,MG,2016,2
FA,Febre Amarela,311340,Caratinga,MG,2017,32
FA,Febre Amarela,311360,Careaçu,MG,2018,1
FA,Febre Amarela,311390,Carmo da Cachoeira,MG,2018,1
FA,Febre Amarela,311400,Carmo da Mata,MG,2017,1
FA,Febre Amarela,311450,Carmópolis de Minas,MG,2018,2
FA,Febre Amarela,311535,Catas Altas,MG,2018,1
FA,Febre Amarela,311600,Chalé,MG,2017,2
FA,Febre Amarela,311630,Cipotânea,MG,2018,2
FA,Febre Amarela,311680,Coluna,MG,2017,3
FA,Febre Amarela,311740,Conceição de Ipanema,MG,2017,3
FA,Febre Amarela,311760,Conceição do Pará,MG,2001,1
FA,Febre Amarela,311780,Conceição Dos Ouros,MG,2018,4
FA,Febre Amarela,311800,Congonhas,MG,2018,3
FA,Febre Amarela,311830,Conselheiro Lafaiete,MG,2018,11
FA,Febre Amarela,311840,Conselheiro Pena,MG,2017,1
FA,Febre Amarela,311850,Consolação,MG,2018,1
FA,Febre Amarela,311860,Contagem,MG,2018,5
FA,Febre Amarela,311870,Coqueiral,MG,2018,1
FA,Febre Amarela,311940,Coronel Fabriciano,MG,2017,1
FA,Febre Amarela,312120,Delfinópolis,MG,2016,2
FA,Febre Amarela,312120,Delfinópolis,MG,2017,3
FA,Febre Amarela,312170,Diogo de Vasconcelos,MG,2018,2
FA,Febre Amarela,312200,Divino,MG,2017,1
FA,Febre Amarela,312230,Divinópolis,MG,2018,1
FA,Febre Amarela,312320,Dores do Indaiá,MG,2001,2
FA,Febre Amarela,312352,Durandé,MG,2017,2
FA,Febre Amarela,312385,Entre Folhas,MG,2016,1
FA,Febre Amarela,312385,Entre Folhas,MG,2017,3
FA,Febre Amarela,312400,Ervália,MG,2018,1
FA,Febre Amarela,312410,Esmeraldas,MG,2017,1
FA,Febre Amarela,312470,Estrela do Indaiá,MG,2001,3
FA,Febre Amarela,312510,Extrema,MG,2025,1
FA,Febre Amarela,312540,Felício Dos Santos,MG,2017,3
FA,Febre Amarela,312590,Ferros,MG,2018,1
FA,Febre Amarela,312595,Fervedouro,MG,2017,1
FA,Febre Amarela,312640,Fortuna de Minas,MG,2017,1
FA,Febre Amarela,312675,Franciscópolis,MG,2017,1
FA,Febre Amarela,312680,Frei Gaspar,MG,2016,1
FA,Febre Amarela,312680,Frei Gaspar,MG,2017,13
FA,Febre Amarela,312738,Goianá,MG,2017,1
FA,Febre Amarela,312740,Gonçalves,MG,2025,1
FA,Febre Amarela,312800,Guanhães,MG,2003,3
FA,Febre Amarela,312820,Guaraciaba,MG,2018,7
FA,Febre Amarela,312840,Guarani,MG,2018,1
FA,Febre Amarela,312920,Heliodora,MG,2018,1
FA,Febre Amarela,313055,Imbé de Minas,MG,2016,4
FA,Febre Amarela,313055,Imbé de Minas,MG,2017,7
FA,Febre Amarela,313090,Inhapim,MG,2016,1
FA,Febre Amarela,313090,Inhapim,MG,2017,4
FA,Febre Amarela,313120,Ipanema,MG,2016,2
FA,Febre Amarela,313120,Ipanema,MG,2017,18
FA,Febre Amarela,313130,Ipatinga,MG,2017,2
FA,Febre Amarela,313170,Itabira,MG,2018,11
FA,Febre Amarela,313190,Itabirito,MG,2018,15
FA,Febre Amarela,313220,Itaguara,MG,2018,1
FA,Febre Amarela,313230,Itaipé,MG,2017,1
FA,Febre Amarela,313270,Itambacuri,MG,2016,4
FA,Febre Amarela,313270,Itambacuri,MG,2017,13
FA,Febre Amarela,313320,Itanhomi,MG,2017,2
FA,Febre Amarela,313380,Itaúna,MG,2018,3
FA,Febre Amarela,313390,Itaverava,MG,2018,4
FA,Febre Amarela,313410,Itueta,MG,2017,5
FA,Febre Amarela,313490,Jacutinga,MG,2018,1
FA,Febre Amarela,313520,Januária,MG,2017,2
FA,Febre Amarela,313540,Jeceaba,MG,2018,1
FA,Febre Amarela,313580,Jequitinhonha,MG,2017,1
FA,Febre Amarela,313620,João Monlevade,MG,2018,2
FA,Febre Amarela,313655,José Raydan,MG,2017,6
FA,Febre Amarela,313660,Nova União,MG,2018,1
FA,Febre Amarela,313670,Juiz de Fora,MG,2017,1
FA,Febre Amarela,313670,Juiz de Fora,MG,2018,40
FA,Febre Amarela,313700,Ladainha,MG,2016,7
FA,Febre Amarela,313700,Ladainha,MG,2017,45
FA,Febre Amarela,313740,Lagoa Dourada,MG,2018,1
FA,Febre Amarela,313770,Lajinha,MG,2017,17
FA,Febre Amarela,313780,Lambari,MG,2018,1
FA,Febre Amarela,313830,Leandro Ferreira,MG,2001,7
FA,Febre Amarela,313830,Leandro Ferreira,MG,2002,1
FA,Febre Amarela,313860,Lima Duarte,MG,2018,7
FA,Febre Amarela,313880,Luz,MG,2001,1
FA,Febre Amarela,313900,Machado,MG,2018,1
FA,Febre Amarela,313920,Malacacheta,MG,2016,3
FA,Febre Amarela,313920,Malacacheta,MG,2017,4
FA,Febre Amarela,313940,Manhuaçu,MG,2017,11
FA,Febre Amarela,313950,Manhumirim,MG,2017,3
FA,Febre Amarela,313980,Mar de Espanha,MG,2017,1
FA,Febre Amarela,313980,Mar de Espanha,MG,2018,1
FA,Febre Amarela,313990,Maria da fé,MG,2025,1
FA,Febre Amarela,314000,Mariana,MG,2017,2
FA,Febre Amarela,314000,Mariana,MG,2018,39
FA,Febre Amarela,314020,Maripá de Minas,MG,2018,2
FA,Febre Amarela,314050,Martinho Campos,MG,2001,2
FA,Febre Amarela,314053,Martins Soares,MG,2017,1
FA,Febre Amarela,314060,Materlândia,MG,2003,1
FA,Febre Amarela,314070,Mateus Leme,MG,2018,4
FA,Febre Amarela,314080,Matias Barbosa,MG,2018,7
FA,Febre Amarela,314090,Matipó,MG,2017,1
FA,Febre Amarela,314160,Mercês,MG,2018,3
FA,Febre Amarela,314180,Minas Novas,MG,2017,3
FA,Febre Amarela,314230,Moeda,MG,2018,2
FA,Febre Amarela,314340,Monte Sião,MG,2024,1
FA,Febre Amarela,314340,Monte Sião,MG,2025,1
FA,Febre Amarela,314390,Muriaé,MG,2018,1
FA,Febre Amarela,314400,Mutum,MG,2017,6
FA,Febre Amarela,314430,Nanuque,MG,2017,2
FA,Febre Amarela,314437,Natalândia,MG,2000,1
FA,Febre Amarela,314440,Natércia,MG,2018,1
FA,Febre Amarela,314480,Nova Lima,MG,2017,2
FA,Febre Amarela,314480,Nova Lima,MG,2018,34
FA,Febre Amarela,314520,Nova Serrana,MG,2001,4
FA,Febre Amarela,314530,Novo Cruzeiro,MG,2016,1
FA,Febre Amarela,314530,Novo Cruzeiro,MG,2017,34
FA,Febre Amarela,314590,Ouro Branco,MG,2018,12
FA,Febre Amarela,314610,Ouro Preto,MG,2018,17
FA,Febre Amarela,314620,Ouro Verde de Minas,MG,2017,1
FA,Febre Amarela,314630,Padre Paraíso,MG,2017,1
FA,Febre Amarela,314660,Paiva,MG,2018,1
FA,Febre Amarela,314710,Pará de Minas,MG,2001,1
FA,Febre Amarela,314730,Paraisópolis,MG,2018,4
FA,Febre Amarela,314770,Passa Tempo,MG,2018,2
FA,Febre Amarela,314780,Passa-vinte,MG,2018,1
FA,Febre Amarela,314830,Paula Cândido,MG,2018,1
FA,Febre Amarela,314840,Paulistas,MG,2016,2
FA,Febre Amarela,314860,Peçanha,MG,2017,1
FA,Febre Amarela,314880,Pedra do Anta,MG,2018,2
FA,Febre Amarela,314930,Pedro Leopoldo,MG,2018,1
FA,Febre Amarela,314950,Pequeri,MG,2018,2
FA,Febre Amarela,315010,Piau,MG,2018,3
FA,Febre Amarela,315015,Piedade de Caratinga,MG,2016,4
FA,Febre Amarela,315015,Piedade de Caratinga,MG,2017,6
FA,Febre Amarela,315080,Piranga,MG,2018,11
FA,Febre Amarela,315090,Piranguçu,MG,2018,1
FA,Febre Amarela,315140,Pitangui,MG,2001,1
FA,Febre Amarela,315160,Planura,MG,2000,1
FA,Febre Amarela,315180,Poços de Caldas,MG,2025,1
FA,Febre Amarela,315190,Pocrane,MG,2017,1
FA,Febre Amarela,315210,Ponte Nova,MG,2017,1
FA,Febre Amarela,315210,Ponte Nova,MG,2018,5
FA,Febre Amarela,315230,Porto Firme,MG,2018,11
FA,Febre Amarela,315240,Poté,MG,2016,2
FA,Febre Amarela,315240,Poté,MG,2017,24
FA,Febre Amarela,315250,Pouso Alegre,MG,2025,1
FA,Febre Amarela,315310,Presidente Bernardes,MG,2018,8
FA,Febre Amarela,315390,Raposos,MG,2018,1
FA,Febre Amarela,315400,Raul Soares,MG,2017,1
FA,Febre Amarela,315415,Reduto,MG,2017,1
FA,Febre Amarela,315440,Ressaquinha,MG,2018,1
FA,Febre Amarela,315480,Rio Acima,MG,2018,13
FA,Febre Amarela,315520,Rio Espera,MG,2018,1
FA,Febre Amarela,315530,Rio Manso,MG,2018,2
FA,Febre Amarela,315540,Rio Novo,MG,2018,1
FA,Febre Amarela,315570,Rio Piracicaba,MG,2018,1
FA,Febre Amarela,315580,Rio Pomba,MG,2018,1
FA,Febre Amarela,315590,Rio Preto,MG,2018,7
FA,Febre Amarela,315670,Sabará,MG,2017,1
FA,Febre Amarela,315670,Sabará,MG,2018,13
FA,Febre Amarela,315680,Sabinópolis,MG,2003,23
FA,Febre Amarela,315720,Santa Bárbara,MG,2018,16
FA,Febre Amarela,315725,Santa Bárbara do Leste,MG,2017,7
FA,Febre Amarela,315727,Santa Bárbara do Monte Verde,MG,2018,1
FA,Febre Amarela,315780,Santa Luzia,MG,2018,3
FA,Febre Amarela,315820,Santa Maria do Suaçuí,MG,2017,6
FA,Febre Amarela,315860,Santana do Deserto,MG,2018,1
FA,Febre Amarela,315890,Santana do Manhuaçu,MG,2017,3
FA,Febre Amarela,315910,Santana Dos Montes,MG,2018,1
FA,Febre Amarela,315930,Santa Rita de Jacutinga,MG,2018,3
FA,Febre Amarela,315935,Santa Rita de Minas,MG,2017,2
FA,Febre Amarela,315950,Santa Rita do Itueto,MG,2017,8
FA,Febre Amarela,315960,Santa Rita do Sapucaí,MG,2018,2
FA,Febre Amarela,316000,Santo Antônio do Aventureiro,MG,2018,2
FA,Febre Amarela,316040,Santo Antônio do Monte,MG,2001,4
FA,Febre Amarela,316070,Santos Dumont,MG,2018,5
FA,Febre Amarela,316100,São Domingos do Prata,MG,2018,2
FA,Febre Amarela,316190,São Gonçalo do Rio Abaixo,MG,2018,4
FA,Febre Amarela,316200,São Gonçalo do Sapucaí,MG,2018,1
FA,Febre Amarela,316210,São Gotardo,MG,2001,2
FA,Febre Amarela,316280,São João Evangelista,MG,2017,2
FA,Febre Amarela,316350,São José do Jacuri,MG,2017,2
FA,Febre Amarela,316360,São José do Mantimento,MG,2017,3
FA,Febre Amarela,316380,São Miguel do Anta,MG,2018,1
FA,Febre Amarela,316430,São Roque de Minas,MG,2017,1
FA,Febre Amarela,316440,São Sebastião da Bela Vista,MG,2018,1
FA,Febre Amarela,316450,São Sebastião do Maranhão,MG,2016,3
FA,Febre Amarela,316450,São Sebastião do Maranhão,MG,2017,10
FA,Febre Amarela,316520,São Thomé Das Letras,MG,2018,12
FA,Febre Amarela,316540,Sapucaí-mirim,MG,2018,5
FA,Febre Amarela,316540,Sapucaí-mirim,MG,2025,1
FA,Febre Amarela,316555,Setubinha,MG,2017,18
FA,Febre Amarela,316570,Senador Firmino,MG,2018,2
FA,Febre Amarela,316600,Senhora de Oliveira,MG,2018,2
FA,Febre Amarela,316610,Senhora do Porto,MG,2003,6
FA,Febre Amarela,316710,Serro,MG,2002,5
FA,Febre Amarela,316710,Serro,MG,2003,20
FA,Febre Amarela,316740,Silvianópolis,MG,2025,1
FA,Febre Amarela,316750,Simão Pereira,MG,2018,2
FA,Febre Amarela,316760,Simonésia,MG,2017,12
FA,Febre Amarela,316780,Soledade de Minas,MG,2025,1
FA,Febre Amarela,316850,Teixeiras,MG,2018,3
FA,Febre Amarela,316860,Teófilo Otoni,MG,2016,2
FA,Febre Amarela,316860,Teófilo Otoni,MG,2017,17
FA,Febre Amarela,316990,Ubá,MG,2009,1
FA,Febre Amarela,316990,Ubá,MG,2018,1
FA,Febre Amarela,317005,Ubaporanga,MG,2016,2
FA,Febre Amarela,317005,Ubaporanga,MG,2017,3
FA,Febre Amarela,317040,Unaí,MG,2008,1
FA,Febre Amarela,317060,Vargem Bonita,MG,2017,1
FA,Febre Amarela,317065,Vargem Grande do Rio Pardo,MG,2017,2
