doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
FMAC,Febre Maculosa,270450,Maragogi,AL,2001,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2006,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2007,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2008,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2009,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2010,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2011,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2012,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2013,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2014,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2015,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2016,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2017,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2018,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2019,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2020,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2021,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2022,1
FMAC,Febre Maculosa,270450,Maragogi,AL,2023,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2024,0
FMAC,Febre Maculosa,270450,Maragogi,AL,2025,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2001,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2006,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2007,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2008,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2009,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2010,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2011,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2012,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2013,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2014,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2015,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2016,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2017,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2018,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2019,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2020,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2021,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2022,1
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2023,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2024,0
FMAC,Febre Maculosa,270730,Porto Calvo,AL,2025,0
FMAC,Febre Maculosa,130260,Manaus,AM,2001,0
FMAC,Febre Maculosa,130260,Manaus,AM,2006,0
FMAC,Febre Maculosa,130260,Manaus,AM,2007,0
FMAC,Febre Maculosa,130260,Manaus,AM,2008,0
FMAC,Febre Maculosa,130260,Manaus,AM,2009,0
FMAC,Febre Maculosa,130260,Manaus,AM,2010,0
FMAC,Febre Maculosa,130260,Manaus,AM,2011,0
FMAC,Febre Maculosa,130260,Manaus,AM,2012,0
