doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
FTIFO,Febre Tifóide,120010,Brasileia,AC,2001,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2003,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2006,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2007,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2008,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2009,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2010,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2011,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2012,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2013,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2014,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2015,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2016,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2017,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2018,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2019,1
FTIFO,Febre Tifóide,120010,Brasileia,AC,2020,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2021,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2022,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2023,3
FTIFO,Febre Tifóide,120010,Brasileia,AC,2024,0
FTIFO,Febre Tifóide,120010,Brasileia,AC,2025,0
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2001,0
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2003,0
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2006,0
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2007,1
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2008,0
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2009,0
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2010,0
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2011,1
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2012,0
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2013,0
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2014,1
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2015,1
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2016,0
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2017,0
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2018,0
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2019,0
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2020,0
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2021,0
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2022,0
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2023,1
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2024,1
FTIFO,Febre Tifóide,120020,Cruzeiro do Sul,AC,2025,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2001,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2003,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2006,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2007,11
FTIFO,Febre Tifóide,120032,Jordao,AC,2008,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2009,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2010,1
FTIFO,Febre Tifóide,120032,Jordao,AC,2011,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2012,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2013,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2014,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2015,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2016,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2017,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2018,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2019,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2020,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2021,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2022,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2023,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2024,0
FTIFO,Febre Tifóide,120032,Jordao,AC,2025,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2001,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2003,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2006,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2007,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2008,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2009,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2010,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2011,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2012,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2013,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2014,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2015,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2016,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2017,1
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2018,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2019,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2020,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2021,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2022,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2023,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2024,0
FTIFO,Febre Tifóide,120033,Mancio Lima,AC,2025,0
FTIFO,Febre Tifóide,120039,Porto Walter,AC,2001,0
