doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
HANS,Hanseníase,120001,Acrelandia,AC,2001,0
HANS,Hanseníase,120001,Acrelandia,AC,2002,4
HANS,Hanseníase,120001,Acrelandia,AC,2003,6
HANS,Hanseníase,120001,Acrelandia,AC,2004,7
HANS,Hanseníase,120001,Acrelandia,AC,2005,2
HANS,Hanseníase,120001,Acrelandia,AC,2006,16
HANS,Hanseníase,120001,Acrelandia,AC,2007,2
HANS,Hanseníase,120001,Acrelandia,AC,2008,4
HANS,Hanseníase,120001,Acrelandia,AC,2009,3
HANS,Hanseníase,120001,Acrelandia,AC,2010,11
HANS,Hanseníase,120001,Acrelandia,AC,2011,5
HANS,Hanseníase,120001,Acrelandia,AC,2012,6
HANS,Hanseníase,120001,Acrelandia,AC,2013,0
HANS,Hanseníase,120001,Acrelandia,AC,2014,1
HANS,Hanseníase,120001,Acrelandia,AC,2015,6
HANS,Hanseníase,120001,Acrelandia,AC,2016,3
HANS,Hanseníase,120001,Acrelandia,AC,2017,0
HANS,Hanseníase,120001,Acrelandia,AC,2018,0
HANS,Hanseníase,120001,Acrelandia,AC,2019,2
HANS,Hanseníase,120001,Acrelandia,AC,2020,0
HANS,Hanseníase,120001,Acrelandia,AC,2021,2
HANS,Hanseníase,120001,Acrelandia,AC,2022,2
HANS,Hanseníase,120001,Acrelandia,AC,2023,1
HANS,Hanseníase,120001,Acrelandia,AC,2024,4
HANS,Hanseníase,120001,Acrelandia,AC,2025,3
HANS,Hanseníase,120001,Acrelandia,AC,2026,0
HANS,Hanseníase,120005,Assis Brasil,AC,2001,1
HANS,Hanseníase,120005,Assis Brasil,AC,2002,3
HANS,Hanseníase,120005,Assis Brasil,AC,2003,2
HANS,Hanseníase,120005,Assis Brasil,AC,2004,0
HANS,Hanseníase,120005,Assis Brasil,AC,2005,1
HANS,Hanseníase,120005,Assis Brasil,AC,2006,7
HANS,Hanseníase,120005,Assis Brasil,AC,2007,1
HANS,Hanseníase,120005,Assis Brasil,AC,2008,3
HANS,Hanseníase,120005,Assis Brasil,AC,2009,8
HANS,Hanseníase,120005,Assis Brasil,AC,2010,5
HANS,Hanseníase,120005,Assis Brasil,AC,2011,2
HANS,Hanseníase,120005,Assis Brasil,AC,2012,4
HANS,Hanseníase,120005,Assis Brasil,AC,2013,2
HANS,Hanseníase,120005,Assis Brasil,AC,2014,1
HANS,Hanseníase,120005,Assis Brasil,AC,2015,3
HANS,Hanseníase,120005,Assis Brasil,AC,2016,3
HANS,Hanseníase,120005,Assis Brasil,AC,2017,6
HANS,Hanseníase,120005,Assis Brasil,AC,2018,5
HANS,Hanseníase,120005,Assis Brasil,AC,2019,3
HANS,Hanseníase,120005,Assis Brasil,AC,2020,1
HANS,Hanseníase,120005,Assis Brasil,AC,2021,3
HANS,Hanseníase,120005,Assis Brasil,AC,2022,1
HANS,Hanseníase,120005,Assis Brasil,AC,2023,1
HANS,Hanseníase,120005,Assis Brasil,AC,2024,4
HANS,Hanseníase,120005,Assis Brasil,AC,2025,2
HANS,Hanseníase,120005,Assis Brasil,AC,2026,0
HANS,Hanseníase,120010,Brasileia,AC,2001,6
HANS,Hanseníase,120010,Brasileia,AC,2002,13
HANS,Hanseníase,120010,Brasileia,AC,2003,10
HANS,Hanseníase,120010,Brasileia,AC,2004,3
HANS,Hanseníase,120010,Brasileia,AC,2005,5
HANS,Hanseníase,120010,Brasileia,AC,2006,18
HANS,Hanseníase,120010,Brasileia,AC,2007,14
HANS,Hanseníase,120010,Brasileia,AC,2008,8
HANS,Hanseníase,120010,Brasileia,AC,2009,7
HANS,Hanseníase,120010,Brasileia,AC,2010,6
HANS,Hanseníase,120010,Brasileia,AC,2011,6
HANS,Hanseníase,120010,Brasileia,AC,2012,2
HANS,Hanseníase,120010,Brasileia,AC,2013,2
HANS,Hanseníase,120010,Brasileia,AC,2014,5
HANS,Hanseníase,120010,Brasileia,AC,2015,4
HANS,Hanseníase,120010,Brasileia,AC,2016,3
HANS,Hanseníase,120010,Brasileia,AC,2017,4
HANS,Hanseníase,120010,Brasileia,AC,2018,1
HANS,Hanseníase,120010,Brasileia,AC,2019,3
HANS,Hanseníase,120010,Brasileia,AC,2020,4
HANS,Hanseníase,120010,Brasileia,AC,2021,3
HANS,Hanseníase,120010,Brasileia,AC,2022,7
HANS,Hanseníase,120010,Brasileia,AC,2023,1
HANS,Hanseníase,120010,Brasileia,AC,2024,7
HANS,Hanseníase,120010,Brasileia,AC,2025,4
HANS,Hanseníase,120010,Brasileia,AC,2026,1
HANS,Hanseníase,120013,Bujari,AC,2001,0
HANS,Hanseníase,120013,Bujari,AC,2002,0
HANS,Hanseníase,120013,Bujari,AC,2003,2
HANS,Hanseníase,120013,Bujari,AC,2004,0
HANS,Hanseníase,120013,Bujari,AC,2005,2
HANS,Hanseníase,120013,Bujari,AC,2006,6
HANS,Hanseníase,120013,Bujari,AC,2007,2
HANS,Hanseníase,120013,Bujari,AC,2008,1
