doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
HANTA,Hantaviroses,130260,Manaus,AM,2007,0
HANTA,Hantaviroses,130260,Manaus,AM,2008,0
HANTA,Hantaviroses,130260,Manaus,AM,2009,0
HANTA,Hantaviroses,130260,Manaus,AM,2010,0
HANTA,Hantaviroses,130260,Manaus,AM,2011,2
HANTA,Hantaviroses,130260,Manaus,AM,2012,0
HANTA,Hantaviroses,130260,Manaus,AM,2013,0
HANTA,Hantaviroses,130260,Manaus,AM,2014,0
HANTA,Hantaviroses,130260,Manaus,AM,2015,0
HANTA,Hantaviroses,130260,Manaus,AM,2016,0
HANTA,Hantaviroses,130260,Manaus,AM,2017,0
HANTA,Hantaviroses,130260,Manaus,AM,2018,0
HANTA,Hantaviroses,130260,Manaus,AM,2019,0
HANTA,Hantaviroses,130260,Manaus,AM,2020,0
HANTA,Hantaviroses,130260,Manaus,AM,2021,0
HANTA,Hantaviroses,130260,Manaus,AM,2022,0
HANTA,Hantaviroses,130260,Manaus,AM,2023,0
HANTA,Hantaviroses,130260,Manaus,AM,2024,0
HANTA,Hantaviroses,130260,Manaus,AM,2025,0
HANTA,Hantaviroses,292740,Salvador,BA,2007,0
HANTA,Hantaviroses,292740,Salvador,BA,2008,0
HANTA,Hantaviroses,292740,Salvador,BA,2009,0
HANTA,Hantaviroses,292740,Salvador,BA,2010,0
HANTA,Hantaviroses,292740,Salvador,BA,2011,0
HANTA,Hantaviroses,292740,Salvador,BA,2012,0
HANTA,Hantaviroses,292740,Salvador,BA,2013,0
HANTA,Hantaviroses,292740,Salvador,BA,2014,0
HANTA,Hantaviroses,292740,Salvador,BA,2015,0
HANTA,Hantaviroses,292740,Salvador,BA,2016,0
HANTA,Hantaviroses,292740,Salvador,BA,2017,0
HANTA,Hantaviroses,292740,Salvador,BA,2018,0
HANTA,Hantaviroses,292740,Salvador,BA,2019,0
HANTA,Hantaviroses,292740,Salvador,BA,2020,0
HANTA,Hantaviroses,292740,Salvador,BA,2021,0
HANTA,Hantaviroses,292740,Salvador,BA,2022,1
HANTA,Hantaviroses,292740,Salvador,BA,2023,0
HANTA,Hantaviroses,292740,Salvador,BA,2024,0
HANTA,Hantaviroses,292740,Salvador,BA,2025,0
HANTA,Hantaviroses,530010,Brasilia,DF,2007,9
HANTA,Hantaviroses,530010,Brasilia,DF,2008,5
HANTA,Hantaviroses,530010,Brasilia,DF,2009,12
HANTA,Hantaviroses,530010,Brasilia,DF,2010,15
HANTA,Hantaviroses,530010,Brasilia,DF,2011,12
HANTA,Hantaviroses,530010,Brasilia,DF,2012,1
HANTA,Hantaviroses,530010,Brasilia,DF,2013,6
HANTA,Hantaviroses,530010,Brasilia,DF,2014,4
HANTA,Hantaviroses,530010,Brasilia,DF,2015,4
HANTA,Hantaviroses,530010,Brasilia,DF,2016,5
HANTA,Hantaviroses,530010,Brasilia,DF,2017,3
HANTA,Hantaviroses,530010,Brasilia,DF,2018,1
HANTA,Hantaviroses,530010,Brasilia,DF,2019,2
HANTA,Hantaviroses,530010,Brasilia,DF,2020,3
HANTA,Hantaviroses,530010,Brasilia,DF,2021,2
HANTA,Hantaviroses,530010,Brasilia,DF,2022,2
HANTA,Hantaviroses,530010,Brasilia,DF,2023,0
HANTA,Hantaviroses,530010,Brasilia,DF,2024,0
HANTA,Hantaviroses,530010,Brasilia,DF,2025,0
HANTA,Hantaviroses,520110,Anapolis,GO,2007,2
HANTA,Hantaviroses,520110,Anapolis,GO,2008,2
HANTA,Hantaviroses,520110,Anapolis,GO,2009,2
HANTA,Hantaviroses,520110,Anapolis,GO,2010,2
HANTA,Hantaviroses,520110,Anapolis,GO,2011,3
HANTA,Hantaviroses,520110,Anapolis,GO,2012,2
HANTA,Hantaviroses,520110,Anapolis,GO,2013,1
HANTA,Hantaviroses,520110,Anapolis,GO,2014,0
HANTA,Hantaviroses,520110,Anapolis,GO,2015,6
HANTA,Hantaviroses,520110,Anapolis,GO,2016,0
HANTA,Hantaviroses,520110,Anapolis,GO,2017,0
HANTA,Hantaviroses,520110,Anapolis,GO,2018,1
HANTA,Hantaviroses,520110,Anapolis,GO,2019,0
HANTA,Hantaviroses,520110,Anapolis,GO,2020,0
HANTA,Hantaviroses,520110,Anapolis,GO,2021,0
HANTA,Hantaviroses,520110,Anapolis,GO,2022,0
HANTA,Hantaviroses,520110,Anapolis,GO,2023,1
HANTA,Hantaviroses,520110,Anapolis,GO,2024,0
HANTA,Hantaviroses,520110,Anapolis,GO,2025,0
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2007,0
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2008,0
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2009,0
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2010,0
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2011,1
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2012,0
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2013,1
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2014,0
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2015,1
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2016,0
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2017,0
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2018,0
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2019,0
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2020,0
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2021,0
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2022,0
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2023,0
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2024,0
HANTA,Hantaviroses,520140,Aparecida de Goiania,GO,2025,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2007,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2008,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2009,1
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2010,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2011,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2012,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2013,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2014,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2015,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2016,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2017,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2018,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2019,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2020,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2021,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2022,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2023,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2024,0
HANTA,Hantaviroses,520355,Bonfinopolis,GO,2025,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2007,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2008,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2009,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2010,1
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2011,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2012,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2013,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2014,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2015,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2016,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2017,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2018,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2019,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2020,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2021,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2022,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2023,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2024,0
HANTA,Hantaviroses,520480,Campo Alegre de Goias,GO,2025,0
HANTA,Hantaviroses,520510,Catalao,GO,2007,0
HANTA,Hantaviroses,520510,Catalao,GO,2008,0
HANTA,Hantaviroses,520510,Catalao,GO,2009,2
HANTA,Hantaviroses,520510,Catalao,GO,2010,0
HANTA,Hantaviroses,520510,Catalao,GO,2011,0
HANTA,Hantaviroses,520510,Catalao,GO,2012,1
HANTA,Hantaviroses,520510,Catalao,GO,2013,1
HANTA,Hantaviroses,520510,Catalao,GO,2014,1
HANTA,Hantaviroses,520510,Catalao,GO,2015,0
HANTA,Hantaviroses,520510,Catalao,GO,2016,0
HANTA,Hantaviroses,520510,Catalao,GO,2017,0
HANTA,Hantaviroses,520510,Catalao,GO,2018,0
HANTA,Hantaviroses,520510,Catalao,GO,2019,0
HANTA,Hantaviroses,520510,Catalao,GO,2020,1
HANTA,Hantaviroses,520510,Catalao,GO,2021,0
HANTA,Hantaviroses,520510,Catalao,GO,2022,0
HANTA,Hantaviroses,520510,Catalao,GO,2023,0
HANTA,Hantaviroses,520510,Catalao,GO,2024,0
HANTA,Hantaviroses,520510,Catalao,GO,2025,0
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2007,0
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2008,0
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2009,0
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2010,1
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2011,0
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2012,0
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2013,0
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2014,0
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2015,0
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2016,0
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2017,0
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2018,0
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2019,0
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2020,0
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2021,0
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2022,0
HANTA,Hantaviroses,520549,Cidade Ocidental,GO,2023,0
