doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2007,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2008,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2009,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2010,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2011,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2012,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2013,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2014,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2015,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2016,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2017,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2018,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2019,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2020,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2021,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2022,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2023,0
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2024,2
LEISHV,Leishmaniose Visceral,120013,Bujari,AC,2025,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2007,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2008,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2009,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2010,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2011,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2012,1
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2013,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2014,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2015,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2016,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2017,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2018,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2019,1
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2020,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2021,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2022,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2023,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2024,0
LEISHV,Leishmaniose Visceral,270010,Agua Branca,AL,2025,0
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2007,0
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2008,0
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2009,0
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2010,0
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2011,0
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2012,0
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2013,0
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2014,0
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2015,0
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2016,0
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2017,0
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2018,1
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2019,1
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2020,2
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2021,2
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2022,0
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2023,0
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2024,1
LEISHV,Leishmaniose Visceral,270030,Arapiraca,AL,2025,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2007,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2008,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2009,1
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2010,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2011,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2012,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2013,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2014,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2015,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2016,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2017,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2018,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2019,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2020,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2021,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2022,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2023,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2024,0
LEISHV,Leishmaniose Visceral,270050,Barra de Santo Antonio,AL,2025,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2007,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2008,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2009,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2010,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2011,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2012,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2013,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2014,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2015,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2016,2
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2017,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2018,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2019,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2020,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2021,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2022,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2023,0
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2024,1
LEISHV,Leishmaniose Visceral,270160,Canapi,AL,2025,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2007,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2008,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2009,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2010,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2011,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2012,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2013,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2014,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2015,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2016,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2017,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2018,1
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2019,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2020,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2021,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2022,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2023,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2024,0
LEISHV,Leishmaniose Visceral,270180,Carneiros,AL,2025,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2007,1
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2008,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2009,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2010,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2011,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2012,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2013,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2014,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2015,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2016,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2017,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2018,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2019,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2020,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2021,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2022,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2023,3
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2024,0
LEISHV,Leishmaniose Visceral,270240,Delmiro Gouveia,AL,2025,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2007,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2008,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2009,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2010,1
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2011,1
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2012,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2013,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2014,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2015,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2016,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2017,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2018,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2019,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2020,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2021,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2022,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2023,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2024,0
LEISHV,Leishmaniose Visceral,270250,Dois Riachos,AL,2025,0
