doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
LEPTO,Leptospirose,120001,Acrelândia,AC,2007,0
LEPTO,Leptospirose,120001,Acrelândia,AC,2008,0
LEPTO,Leptospirose,120001,Acrelândia,AC,2009,0
LEPTO,Leptospirose,120001,Acrelândia,AC,2010,0
LEPTO,Leptospirose,120001,Acrelândia,AC,2011,0
LEPTO,Leptospirose,120001,Acrelândia,AC,2012,0
LEPTO,Leptospirose,120001,Acrelândia,AC,2013,23
LEPTO,Leptospirose,120001,Acrelândia,AC,2014,1
LEPTO,Leptospirose,120001,Acrelândia,AC,2015,1
LEPTO,Leptospirose,120001,Acrelândia,AC,2016,0
LEPTO,Leptospirose,120001,Acrelândia,AC,2017,1
LEPTO,Leptospirose,120001,Acrelândia,AC,2018,1
LEPTO,Leptospirose,120001,Acrelândia,AC,2019,0
LEPTO,Leptospirose,120001,Acrelândia,AC,2020,3
LEPTO,Leptospirose,120001,Acrelândia,AC,2021,0
LEPTO,Leptospirose,120001,Acrelândia,AC,2022,1
LEPTO,Leptospirose,120001,Acrelândia,AC,2023,1
LEPTO,Leptospirose,120001,Acrelândia,AC,2024,1
LEPTO,Leptospirose,120001,Acrelândia,AC,2025,0
LEPTO,Leptospirose,120001,Acrelândia,AC,2026,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2007,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2008,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2009,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2010,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2011,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2012,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2013,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2014,1
LEPTO,Leptospirose,120005,Assis Brasil,AC,2015,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2016,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2017,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2018,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2019,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2020,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2021,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2022,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2023,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2024,0
LEPTO,Leptospirose,120005,Assis Brasil,AC,2025,1
LEPTO,Leptospirose,120005,Assis Brasil,AC,2026,0
LEPTO,Leptospirose,120010,Brasiléia,AC,2007,0
LEPTO,Leptospirose,120010,Brasiléia,AC,2008,0
LEPTO,Leptospirose,120010,Brasiléia,AC,2009,0
LEPTO,Leptospirose,120010,Brasiléia,AC,2010,1
LEPTO,Leptospirose,120010,Brasiléia,AC,2011,0
LEPTO,Leptospirose,120010,Brasiléia,AC,2012,0
LEPTO,Leptospirose,120010,Brasiléia,AC,2013,1
LEPTO,Leptospirose,120010,Brasiléia,AC,2014,3
LEPTO,Leptospirose,120010,Brasiléia,AC,2015,5
LEPTO,Leptospirose,120010,Brasiléia,AC,2016,0
LEPTO,Leptospirose,120010,Brasiléia,AC,2017,3
LEPTO,Leptospirose,120010,Brasiléia,AC,2018,0
LEPTO,Leptospirose,120010,Brasiléia,AC,2019,3
LEPTO,Leptospirose,120010,Brasiléia,AC,2020,0
LEPTO,Leptospirose,120010,Brasiléia,AC,2021,0
LEPTO,Leptospirose,120010,Brasiléia,AC,2022,1
