doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2007,17
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2008,35
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2009,19
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2010,11
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2011,21
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2012,31
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2013,21
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2014,24
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2015,22
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2016,15
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2017,11
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2018,7
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2019,15
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2020,15
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2021,22
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2022,6
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2023,9
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2024,4
LTA,Leishmaniose Tegumentar Americana,120001,Acrelândia,AC,2025,3
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2007,63
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2008,59
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2009,64
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2010,68
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2011,58
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2012,57
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2013,46
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2014,61
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2015,74
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2016,109
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2017,85
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2018,55
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2019,73
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2020,77
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2021,102
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2022,47
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2023,57
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2024,50
LTA,Leishmaniose Tegumentar Americana,120005,Assis Brasil,AC,2025,37
LTA,Leishmaniose Tegumentar Americana,120010,Brasiléia,AC,2007,56
LTA,Leishmaniose Tegumentar Americana,120010,Brasiléia,AC,2008,94
LTA,Leishmaniose Tegumentar Americana,120010,Brasiléia,AC,2009,81
LTA,Leishmaniose Tegumentar Americana,120010,Brasiléia,AC,2010,84
LTA,Leishmaniose Tegumentar Americana,120010,Brasiléia,AC,2011,58
LTA,Leishmaniose Tegumentar Americana,120010,Brasiléia,AC,2012,72
LTA,Leishmaniose Tegumentar Americana,120010,Brasiléia,AC,2013,74
LTA,Leishmaniose Tegumentar Americana,120010,Brasiléia,AC,2014,81
LTA,Leishmaniose Tegumentar Americana,120010,Brasiléia,AC,2015,65
