doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
MALA,Malária,270060,Barra de Sao Miguel,AL,2007,0
MALA,Malária,270060,Barra de Sao Miguel,AL,2008,0
MALA,Malária,270060,Barra de Sao Miguel,AL,2009,0
MALA,Malária,270060,Barra de Sao Miguel,AL,2010,0
MALA,Malária,270060,Barra de Sao Miguel,AL,2011,1
MALA,Malária,270060,Barra de Sao Miguel,AL,2012,0
MALA,Malária,270060,Barra de Sao Miguel,AL,2013,0
MALA,Malária,270060,Barra de Sao Miguel,AL,2014,0
MALA,Malária,270060,Barra de Sao Miguel,AL,2015,0
MALA,Malária,270060,Barra de Sao Miguel,AL,2016,0
MALA,Malária,270060,Barra de Sao Miguel,AL,2017,0
MALA,Malária,270060,Barra de Sao Miguel,AL,2018,0
MALA,Malária,270060,Barra de Sao Miguel,AL,2019,0
MALA,Malária,270060,Barra de Sao Miguel,AL,2020,0
MALA,Malária,270060,Barra de Sao Miguel,AL,2021,0
MALA,Malária,270060,Barra de Sao Miguel,AL,2022,0
MALA,Malária,270060,Barra de Sao Miguel,AL,2023,0
MALA,Malária,270060,Barra de Sao Miguel,AL,2024,0
MALA,Malária,270240,Delmiro Gouveia,AL,2007,0
MALA,Malária,270240,Delmiro Gouveia,AL,2008,0
MALA,Malária,270240,Delmiro Gouveia,AL,2009,0
MALA,Malária,270240,Delmiro Gouveia,AL,2010,1
MALA,Malária,270240,Delmiro Gouveia,AL,2011,3
MALA,Malária,270240,Delmiro Gouveia,AL,2012,1
MALA,Malária,270240,Delmiro Gouveia,AL,2013,1
MALA,Malária,270240,Delmiro Gouveia,AL,2014,0
MALA,Malária,270240,Delmiro Gouveia,AL,2015,0
MALA,Malária,270240,Delmiro Gouveia,AL,2016,0
MALA,Malária,270240,Delmiro Gouveia,AL,2017,0
MALA,Malária,270240,Delmiro Gouveia,AL,2018,0
MALA,Malária,270240,Delmiro Gouveia,AL,2019,0
MALA,Malária,270240,Delmiro Gouveia,AL,2020,0
MALA,Malária,270240,Delmiro Gouveia,AL,2021,0
MALA,Malária,270240,Delmiro Gouveia,AL,2022,0
MALA,Malária,270240,Delmiro Gouveia,AL,2023,0
MALA,Malária,270240,Delmiro Gouveia,AL,2024,0
MALA,Malária,270430,Maceio,AL,2007,6
MALA,Malária,270430,Maceio,AL,2008,6
MALA,Malária,270430,Maceio,AL,2009,10
MALA,Malária,270430,Maceio,AL,2010,8
MALA,Malária,270430,Maceio,AL,2011,2
MALA,Malária,270430,Maceio,AL,2012,6
MALA,Malária,270430,Maceio,AL,2013,6
MALA,Malária,270430,Maceio,AL,2014,4
MALA,Malária,270430,Maceio,AL,2015,3
MALA,Malária,270430,Maceio,AL,2016,2
MALA,Malária,270430,Maceio,AL,2017,6
MALA,Malária,270430,Maceio,AL,2018,2
MALA,Malária,270430,Maceio,AL,2019,2
MALA,Malária,270430,Maceio,AL,2020,0
MALA,Malária,270430,Maceio,AL,2021,4
MALA,Malária,270430,Maceio,AL,2022,2
MALA,Malária,270430,Maceio,AL,2023,2
MALA,Malária,270430,Maceio,AL,2024,3
MALA,Malária,270470,Marechal Deodoro,AL,2007,0
MALA,Malária,270470,Marechal Deodoro,AL,2008,0
MALA,Malária,270470,Marechal Deodoro,AL,2009,0
MALA,Malária,270470,Marechal Deodoro,AL,2010,0
MALA,Malária,270470,Marechal Deodoro,AL,2011,0
MALA,Malária,270470,Marechal Deodoro,AL,2012,0
MALA,Malária,270470,Marechal Deodoro,AL,2013,0
MALA,Malária,270470,Marechal Deodoro,AL,2014,0
MALA,Malária,270470,Marechal Deodoro,AL,2015,0
MALA,Malária,270470,Marechal Deodoro,AL,2016,0
MALA,Malária,270470,Marechal Deodoro,AL,2017,0
MALA,Malária,270470,Marechal Deodoro,AL,2018,0
MALA,Malária,270470,Marechal Deodoro,AL,2019,0
MALA,Malária,270470,Marechal Deodoro,AL,2020,0
MALA,Malária,270470,Marechal Deodoro,AL,2021,1
MALA,Malária,270470,Marechal Deodoro,AL,2022,0
MALA,Malária,270470,Marechal Deodoro,AL,2023,0
MALA,Malária,270470,Marechal Deodoro,AL,2024,0
MALA,Malária,270670,Penedo,AL,2007,0
MALA,Malária,270670,Penedo,AL,2008,0
MALA,Malária,270670,Penedo,AL,2009,0
MALA,Malária,270670,Penedo,AL,2010,0
MALA,Malária,270670,Penedo,AL,2011,0
MALA,Malária,270670,Penedo,AL,2012,0
MALA,Malária,270670,Penedo,AL,2013,0
MALA,Malária,270670,Penedo,AL,2014,0
MALA,Malária,270670,Penedo,AL,2015,0
MALA,Malária,270670,Penedo,AL,2016,0
MALA,Malária,270670,Penedo,AL,2017,0
MALA,Malária,270670,Penedo,AL,2018,0
MALA,Malária,270670,Penedo,AL,2019,0
MALA,Malária,270670,Penedo,AL,2020,0
MALA,Malária,270670,Penedo,AL,2021,2
MALA,Malária,270670,Penedo,AL,2022,0
MALA,Malária,270670,Penedo,AL,2023,0
MALA,Malária,270670,Penedo,AL,2024,0
MALA,Malária,290070,Alagoinhas,BA,2007,0
MALA,Malária,290070,Alagoinhas,BA,2008,1
MALA,Malária,290070,Alagoinhas,BA,2009,0
MALA,Malária,290070,Alagoinhas,BA,2010,1
MALA,Malária,290070,Alagoinhas,BA,2011,0
MALA,Malária,290070,Alagoinhas,BA,2012,0
MALA,Malária,290070,Alagoinhas,BA,2013,0
MALA,Malária,290070,Alagoinhas,BA,2014,0
MALA,Malária,290070,Alagoinhas,BA,2015,0
MALA,Malária,290070,Alagoinhas,BA,2016,0
MALA,Malária,290070,Alagoinhas,BA,2017,2
MALA,Malária,290070,Alagoinhas,BA,2018,0
MALA,Malária,290070,Alagoinhas,BA,2019,0
MALA,Malária,290070,Alagoinhas,BA,2020,0
MALA,Malária,290070,Alagoinhas,BA,2021,0
MALA,Malária,290070,Alagoinhas,BA,2022,0
MALA,Malária,290070,Alagoinhas,BA,2023,0
MALA,Malária,290070,Alagoinhas,BA,2024,0
MALA,Malária,290140,Angical,BA,2007,0
MALA,Malária,290140,Angical,BA,2008,0
MALA,Malária,290140,Angical,BA,2009,0
MALA,Malária,290140,Angical,BA,2010,0
MALA,Malária,290140,Angical,BA,2011,0
MALA,Malária,290140,Angical,BA,2012,0
MALA,Malária,290140,Angical,BA,2013,0
MALA,Malária,290140,Angical,BA,2014,0
MALA,Malária,290140,Angical,BA,2015,0
MALA,Malária,290140,Angical,BA,2016,0
MALA,Malária,290140,Angical,BA,2017,0
MALA,Malária,290140,Angical,BA,2018,0
MALA,Malária,290140,Angical,BA,2019,0
MALA,Malária,290140,Angical,BA,2020,0
MALA,Malária,290140,Angical,BA,2021,1
MALA,Malária,290140,Angical,BA,2022,0
MALA,Malária,290140,Angical,BA,2023,0
MALA,Malária,290140,Angical,BA,2024,0
MALA,Malária,290225,Arataca,BA,2007,1
