doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
MENIN,Meningite,120001,Acrelandia,AC,2000,0
MENIN,Meningite,120001,Acrelandia,AC,2001,0
MENIN,Meningite,120001,Acrelandia,AC,2002,0
MENIN,Meningite,120001,Acrelandia,AC,2003,0
MENIN,Meningite,120001,Acrelandia,AC,2004,0
MENIN,Meningite,120001,Acrelandia,AC,2005,0
MENIN,Meningite,120001,Acrelandia,AC,2006,0
MENIN,Meningite,120001,Acrelandia,AC,2007,1
MENIN,Meningite,120001,Acrelandia,AC,2008,0
MENIN,Meningite,120001,Acrelandia,AC,2009,0
MENIN,Meningite,120001,Acrelandia,AC,2010,0
MENIN,Meningite,120001,Acrelandia,AC,2011,0
MENIN,Meningite,120001,Acrelandia,AC,2012,0
MENIN,Meningite,120001,Acrelandia,AC,2013,0
MENIN,Meningite,120001,Acrelandia,AC,2014,0
MENIN,Meningite,120001,Acrelandia,AC,2015,0
MENIN,Meningite,120001,Acrelandia,AC,2016,0
MENIN,Meningite,120001,Acrelandia,AC,2017,0
MENIN,Meningite,120001,Acrelandia,AC,2018,0
MENIN,Meningite,120001,Acrelandia,AC,2019,0
MENIN,Meningite,120001,Acrelandia,AC,2020,0
MENIN,Meningite,120001,Acrelandia,AC,2021,0
MENIN,Meningite,120001,Acrelandia,AC,2022,0
MENIN,Meningite,120001,Acrelandia,AC,2023,0
MENIN,Meningite,120001,Acrelandia,AC,2024,0
MENIN,Meningite,120001,Acrelandia,AC,2025,0
MENIN,Meningite,120001,Acrelandia,AC,2026,0
MENIN,Meningite,120005,Assis Brasil,AC,2000,0
MENIN,Meningite,120005,Assis Brasil,AC,2001,0
MENIN,Meningite,120005,Assis Brasil,AC,2002,0
MENIN,Meningite,120005,Assis Brasil,AC,2003,0
MENIN,Meningite,120005,Assis Brasil,AC,2004,0
MENIN,Meningite,120005,Assis Brasil,AC,2005,0
MENIN,Meningite,120005,Assis Brasil,AC,2006,0
MENIN,Meningite,120005,Assis Brasil,AC,2007,0
MENIN,Meningite,120005,Assis Brasil,AC,2008,0
MENIN,Meningite,120005,Assis Brasil,AC,2009,1
MENIN,Meningite,120005,Assis Brasil,AC,2010,0
MENIN,Meningite,120005,Assis Brasil,AC,2011,0
MENIN,Meningite,120005,Assis Brasil,AC,2012,0
MENIN,Meningite,120005,Assis Brasil,AC,2013,0
MENIN,Meningite,120005,Assis Brasil,AC,2014,0
MENIN,Meningite,120005,Assis Brasil,AC,2015,0
MENIN,Meningite,120005,Assis Brasil,AC,2016,0
MENIN,Meningite,120005,Assis Brasil,AC,2017,0
MENIN,Meningite,120005,Assis Brasil,AC,2018,0
MENIN,Meningite,120005,Assis Brasil,AC,2019,0
MENIN,Meningite,120005,Assis Brasil,AC,2020,0
MENIN,Meningite,120005,Assis Brasil,AC,2021,0
MENIN,Meningite,120005,Assis Brasil,AC,2022,0
MENIN,Meningite,120005,Assis Brasil,AC,2023,0
MENIN,Meningite,120005,Assis Brasil,AC,2024,0
MENIN,Meningite,120005,Assis Brasil,AC,2025,0
MENIN,Meningite,120005,Assis Brasil,AC,2026,0
MENIN,Meningite,120010,Brasileia,AC,2000,0
MENIN,Meningite,120010,Brasileia,AC,2001,0
MENIN,Meningite,120010,Brasileia,AC,2002,0
MENIN,Meningite,120010,Brasileia,AC,2003,0
MENIN,Meningite,120010,Brasileia,AC,2004,0
MENIN,Meningite,120010,Brasileia,AC,2005,0
MENIN,Meningite,120010,Brasileia,AC,2006,0
MENIN,Meningite,120010,Brasileia,AC,2007,1
MENIN,Meningite,120010,Brasileia,AC,2008,0
MENIN,Meningite,120010,Brasileia,AC,2009,0
MENIN,Meningite,120010,Brasileia,AC,2010,0
MENIN,Meningite,120010,Brasileia,AC,2011,0
