doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
ROTA,Rotavírus,120010,Brasileia,AC,2009,0
ROTA,Rotavírus,120010,Brasileia,AC,2010,5
ROTA,Rotavírus,120010,Brasileia,AC,2011,3
ROTA,Rotavírus,120010,Brasileia,AC,2012,2
ROTA,Rotavírus,120010,Brasileia,AC,2013,1
ROTA,Rotavírus,120010,Brasileia,AC,2014,1
ROTA,Rotavírus,120010,Brasileia,AC,2015,10
ROTA,Rotavírus,120010,Brasileia,AC,2016,9
ROTA,Rotavírus,120010,Brasileia,AC,2017,3
ROTA,Rotavírus,120010,Brasileia,AC,2018,3
ROTA,Rotavírus,120010,Brasileia,AC,2019,0
ROTA,Rotavírus,120010,Brasileia,AC,2020,0
ROTA,Rotavírus,120010,Brasileia,AC,2021,0
ROTA,Rotavírus,120010,Brasileia,AC,2022,0
ROTA,Rotavírus,120010,Brasileia,AC,2023,0
ROTA,Rotavírus,120010,Brasileia,AC,2024,0
ROTA,Rotavírus,120010,Brasileia,AC,2025,0
ROTA,Rotavírus,120010,Brasileia,AC,2026,0
ROTA,Rotavírus,120040,Rio Branco,AC,2009,8
ROTA,Rotavírus,120040,Rio Branco,AC,2010,6
ROTA,Rotavírus,120040,Rio Branco,AC,2011,20
ROTA,Rotavírus,120040,Rio Branco,AC,2012,27
ROTA,Rotavírus,120040,Rio Branco,AC,2013,8
ROTA,Rotavírus,120040,Rio Branco,AC,2014,3
ROTA,Rotavírus,120040,Rio Branco,AC,2015,5
ROTA,Rotavírus,120040,Rio Branco,AC,2016,4
ROTA,Rotavírus,120040,Rio Branco,AC,2017,1
ROTA,Rotavírus,120040,Rio Branco,AC,2018,0
ROTA,Rotavírus,120040,Rio Branco,AC,2019,0
ROTA,Rotavírus,120040,Rio Branco,AC,2020,0
ROTA,Rotavírus,120040,Rio Branco,AC,2021,0
ROTA,Rotavírus,120040,Rio Branco,AC,2022,0
ROTA,Rotavírus,120040,Rio Branco,AC,2023,0
ROTA,Rotavírus,120040,Rio Branco,AC,2024,0
ROTA,Rotavírus,120040,Rio Branco,AC,2025,0
ROTA,Rotavírus,120040,Rio Branco,AC,2026,0
ROTA,Rotavírus,120050,Sena Madureira,AC,2009,0
ROTA,Rotavírus,120050,Sena Madureira,AC,2010,0
ROTA,Rotavírus,120050,Sena Madureira,AC,2011,2
ROTA,Rotavírus,120050,Sena Madureira,AC,2012,13
ROTA,Rotavírus,120050,Sena Madureira,AC,2013,0
ROTA,Rotavírus,120050,Sena Madureira,AC,2014,8
ROTA,Rotavírus,120050,Sena Madureira,AC,2015,1
ROTA,Rotavírus,120050,Sena Madureira,AC,2016,0
ROTA,Rotavírus,120050,Sena Madureira,AC,2017,0
ROTA,Rotavírus,120050,Sena Madureira,AC,2018,0
ROTA,Rotavírus,120050,Sena Madureira,AC,2019,0
ROTA,Rotavírus,120050,Sena Madureira,AC,2020,0
ROTA,Rotavírus,120050,Sena Madureira,AC,2021,0
ROTA,Rotavírus,120050,Sena Madureira,AC,2022,0
ROTA,Rotavírus,120050,Sena Madureira,AC,2023,0
ROTA,Rotavírus,120050,Sena Madureira,AC,2024,0
ROTA,Rotavírus,120050,Sena Madureira,AC,2025,0
ROTA,Rotavírus,120050,Sena Madureira,AC,2026,0
ROTA,Rotavírus,270130,Cajueiro,AL,2009,0
ROTA,Rotavírus,270130,Cajueiro,AL,2010,11
ROTA,Rotavírus,270130,Cajueiro,AL,2011,5
ROTA,Rotavírus,270130,Cajueiro,AL,2012,1
ROTA,Rotavírus,270130,Cajueiro,AL,2013,0
ROTA,Rotavírus,270130,Cajueiro,AL,2014,0
ROTA,Rotavírus,270130,Cajueiro,AL,2015,0
ROTA,Rotavírus,270130,Cajueiro,AL,2016,0
ROTA,Rotavírus,270130,Cajueiro,AL,2017,0
ROTA,Rotavírus,270130,Cajueiro,AL,2018,0
ROTA,Rotavírus,270130,Cajueiro,AL,2019,0
ROTA,Rotavírus,270130,Cajueiro,AL,2020,0
ROTA,Rotavírus,270130,Cajueiro,AL,2021,0
ROTA,Rotavírus,270130,Cajueiro,AL,2022,0
ROTA,Rotavírus,270130,Cajueiro,AL,2023,0
ROTA,Rotavírus,270130,Cajueiro,AL,2024,0
ROTA,Rotavírus,270130,Cajueiro,AL,2025,0
ROTA,Rotavírus,270130,Cajueiro,AL,2026,0
ROTA,Rotavírus,270430,Maceio,AL,2009,0
ROTA,Rotavírus,270430,Maceio,AL,2010,14
ROTA,Rotavírus,270430,Maceio,AL,2011,3
ROTA,Rotavírus,270430,Maceio,AL,2012,1
ROTA,Rotavírus,270430,Maceio,AL,2013,2
ROTA,Rotavírus,270430,Maceio,AL,2014,0
ROTA,Rotavírus,270430,Maceio,AL,2015,0
ROTA,Rotavírus,270430,Maceio,AL,2016,0
ROTA,Rotavírus,270430,Maceio,AL,2017,0
ROTA,Rotavírus,270430,Maceio,AL,2018,0
ROTA,Rotavírus,270430,Maceio,AL,2019,0
ROTA,Rotavírus,270430,Maceio,AL,2020,0
ROTA,Rotavírus,270430,Maceio,AL,2021,0
ROTA,Rotavírus,270430,Maceio,AL,2022,0
ROTA,Rotavírus,270430,Maceio,AL,2023,0
ROTA,Rotavírus,270430,Maceio,AL,2024,0
ROTA,Rotavírus,270430,Maceio,AL,2025,0
ROTA,Rotavírus,270430,Maceio,AL,2026,0
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2009,0
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2010,4
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2011,0
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2012,1
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2013,0
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2014,0
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2015,0
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2016,0
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2017,0
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2018,0
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2019,0
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2020,0
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2021,0
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2022,0
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2023,0
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2024,0
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2025,0
ROTA,Rotavírus,270630,Palmeira Dos Indios,AL,2026,0
ROTA,Rotavírus,270670,Penedo,AL,2009,1
ROTA,Rotavírus,270670,Penedo,AL,2010,0
ROTA,Rotavírus,270670,Penedo,AL,2011,0
ROTA,Rotavírus,270670,Penedo,AL,2012,0
ROTA,Rotavírus,270670,Penedo,AL,2013,0
ROTA,Rotavírus,270670,Penedo,AL,2014,0
ROTA,Rotavírus,270670,Penedo,AL,2015,0
ROTA,Rotavírus,270670,Penedo,AL,2016,0
ROTA,Rotavírus,270670,Penedo,AL,2017,0
ROTA,Rotavírus,270670,Penedo,AL,2018,0
ROTA,Rotavírus,270670,Penedo,AL,2019,0
ROTA,Rotavírus,270670,Penedo,AL,2020,0
ROTA,Rotavírus,270670,Penedo,AL,2021,0
ROTA,Rotavírus,270670,Penedo,AL,2022,0
ROTA,Rotavírus,270670,Penedo,AL,2023,0
ROTA,Rotavírus,270670,Penedo,AL,2024,0
ROTA,Rotavírus,270670,Penedo,AL,2025,0
ROTA,Rotavírus,270670,Penedo,AL,2026,0
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2009,0
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2010,1
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2011,1
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2012,0
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2013,0
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2014,0
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2015,0
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2016,0
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2017,0
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2018,0
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2019,0
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2020,0
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2021,0
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2022,0
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2023,0
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2024,0
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2025,0
ROTA,Rotavírus,270860,Sao Miguel Dos Campos,AL,2026,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2009,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2010,3
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2011,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2012,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2013,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2014,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2015,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2016,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2017,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2018,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2019,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2020,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2021,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2022,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2023,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2024,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2025,0
ROTA,Rotavírus,270915,Teotonio Vilela,AL,2026,0
ROTA,Rotavírus,130250,Manacapuru,AM,2009,0
ROTA,Rotavírus,130250,Manacapuru,AM,2010,0
ROTA,Rotavírus,130250,Manacapuru,AM,2011,0
ROTA,Rotavírus,130250,Manacapuru,AM,2012,0
ROTA,Rotavírus,130250,Manacapuru,AM,2013,0
ROTA,Rotavírus,130250,Manacapuru,AM,2014,0
ROTA,Rotavírus,130250,Manacapuru,AM,2015,0
ROTA,Rotavírus,130250,Manacapuru,AM,2016,0
ROTA,Rotavírus,130250,Manacapuru,AM,2017,0
ROTA,Rotavírus,130250,Manacapuru,AM,2018,0
ROTA,Rotavírus,130250,Manacapuru,AM,2019,9
ROTA,Rotavírus,130250,Manacapuru,AM,2020,1
ROTA,Rotavírus,130250,Manacapuru,AM,2021,28
ROTA,Rotavírus,130250,Manacapuru,AM,2022,29
ROTA,Rotavírus,130250,Manacapuru,AM,2023,74
ROTA,Rotavírus,130250,Manacapuru,AM,2024,21
ROTA,Rotavírus,130250,Manacapuru,AM,2025,145
ROTA,Rotavírus,130250,Manacapuru,AM,2026,0
ROTA,Rotavírus,130260,Manaus,AM,2009,221
ROTA,Rotavírus,130260,Manaus,AM,2010,92
ROTA,Rotavírus,130260,Manaus,AM,2011,69
