doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
SIFADQ,Sífilis Adquirida,120001,Acrelandia,AC,2010,0
SIFADQ,Sífilis Adquirida,120001,Acrelandia,AC,2011,0
SIFADQ,Sífilis Adquirida,120001,Acrelandia,AC,2012,0
SIFADQ,Sífilis Adquirida,120001,Acrelandia,AC,2013,0
SIFADQ,Sífilis Adquirida,120001,Acrelandia,AC,2014,0
SIFADQ,Sífilis Adquirida,120001,Acrelandia,AC,2015,3
SIFADQ,Sífilis Adquirida,120001,Acrelandia,AC,2016,13
SIFADQ,Sífilis Adquirida,120001,Acrelandia,AC,2017,1
SIFADQ,Sífilis Adquirida,120001,Acrelandia,AC,2018,5
SIFADQ,Sífilis Adquirida,120001,Acrelandia,AC,2019,6
SIFADQ,Sífilis Adquirida,120001,Acrelandia,AC,2020,10
SIFADQ,Sífilis Adquirida,120001,Acrelandia,AC,2021,21
SIFADQ,Sífilis Adquirida,120001,Acrelandia,AC,2022,12
SIFADQ,Sífilis Adquirida,120001,Acrelandia,AC,2023,17
SIFADQ,Sífilis Adquirida,120001,Acrelandia,AC,2024,0
SIFADQ,Sífilis Adquirida,120005,Assis Brasil,AC,2010,0
SIFADQ,Sífilis Adquirida,120005,Assis Brasil,AC,2011,0
SIFADQ,Sífilis Adquirida,120005,Assis Brasil,AC,2012,0
SIFADQ,Sífilis Adquirida,120005,Assis Brasil,AC,2013,0
SIFADQ,Sífilis Adquirida,120005,Assis Brasil,AC,2014,1
SIFADQ,Sífilis Adquirida,120005,Assis Brasil,AC,2015,0
SIFADQ,Sífilis Adquirida,120005,Assis Brasil,AC,2016,0
SIFADQ,Sífilis Adquirida,120005,Assis Brasil,AC,2017,3
SIFADQ,Sífilis Adquirida,120005,Assis Brasil,AC,2018,14
SIFADQ,Sífilis Adquirida,120005,Assis Brasil,AC,2019,22
SIFADQ,Sífilis Adquirida,120005,Assis Brasil,AC,2020,7
SIFADQ,Sífilis Adquirida,120005,Assis Brasil,AC,2021,9
SIFADQ,Sífilis Adquirida,120005,Assis Brasil,AC,2022,15
SIFADQ,Sífilis Adquirida,120005,Assis Brasil,AC,2023,9
SIFADQ,Sífilis Adquirida,120005,Assis Brasil,AC,2024,1
SIFADQ,Sífilis Adquirida,120010,Brasileia,AC,2010,0
SIFADQ,Sífilis Adquirida,120010,Brasileia,AC,2011,0
SIFADQ,Sífilis Adquirida,120010,Brasileia,AC,2012,0
SIFADQ,Sífilis Adquirida,120010,Brasileia,AC,2013,0
SIFADQ,Sífilis Adquirida,120010,Brasileia,AC,2014,2
SIFADQ,Sífilis Adquirida,120010,Brasileia,AC,2015,3
SIFADQ,Sífilis Adquirida,120010,Brasileia,AC,2016,2
SIFADQ,Sífilis Adquirida,120010,Brasileia,AC,2017,25
SIFADQ,Sífilis Adquirida,120010,Brasileia,AC,2018,83
SIFADQ,Sífilis Adquirida,120010,Brasileia,AC,2019,37
SIFADQ,Sífilis Adquirida,120010,Brasileia,AC,2020,16
SIFADQ,Sífilis Adquirida,120010,Brasileia,AC,2021,15
SIFADQ,Sífilis Adquirida,120010,Brasileia,AC,2022,63
SIFADQ,Sífilis Adquirida,120010,Brasileia,AC,2023,116
SIFADQ,Sífilis Adquirida,120010,Brasileia,AC,2024,15
SIFADQ,Sífilis Adquirida,120013,Bujari,AC,2010,0
SIFADQ,Sífilis Adquirida,120013,Bujari,AC,2011,0
SIFADQ,Sífilis Adquirida,120013,Bujari,AC,2012,0
SIFADQ,Sífilis Adquirida,120013,Bujari,AC,2013,0
SIFADQ,Sífilis Adquirida,120013,Bujari,AC,2014,0
SIFADQ,Sífilis Adquirida,120013,Bujari,AC,2015,8
SIFADQ,Sífilis Adquirida,120013,Bujari,AC,2016,9
SIFADQ,Sífilis Adquirida,120013,Bujari,AC,2017,1
SIFADQ,Sífilis Adquirida,120013,Bujari,AC,2018,11
SIFADQ,Sífilis Adquirida,120013,Bujari,AC,2019,2
SIFADQ,Sífilis Adquirida,120013,Bujari,AC,2020,8
SIFADQ,Sífilis Adquirida,120013,Bujari,AC,2021,20
SIFADQ,Sífilis Adquirida,120013,Bujari,AC,2022,26
SIFADQ,Sífilis Adquirida,120013,Bujari,AC,2023,21
SIFADQ,Sífilis Adquirida,120013,Bujari,AC,2024,0
SIFADQ,Sífilis Adquirida,120017,Capixaba,AC,2010,0
SIFADQ,Sífilis Adquirida,120017,Capixaba,AC,2011,0
SIFADQ,Sífilis Adquirida,120017,Capixaba,AC,2012,0
SIFADQ,Sífilis Adquirida,120017,Capixaba,AC,2013,0
SIFADQ,Sífilis Adquirida,120017,Capixaba,AC,2014,1
SIFADQ,Sífilis Adquirida,120017,Capixaba,AC,2015,0
SIFADQ,Sífilis Adquirida,120017,Capixaba,AC,2016,0
SIFADQ,Sífilis Adquirida,120017,Capixaba,AC,2017,0
SIFADQ,Sífilis Adquirida,120017,Capixaba,AC,2018,3
SIFADQ,Sífilis Adquirida,120017,Capixaba,AC,2019,2
SIFADQ,Sífilis Adquirida,120017,Capixaba,AC,2020,2
SIFADQ,Sífilis Adquirida,120017,Capixaba,AC,2021,6
SIFADQ,Sífilis Adquirida,120017,Capixaba,AC,2022,1
SIFADQ,Sífilis Adquirida,120017,Capixaba,AC,2023,3
