doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2007,0
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2008,0
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2009,0
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2010,0
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2011,0
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2012,0
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2013,1
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2014,0
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2015,0
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2016,0
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2017,1
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2018,0
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2019,2
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2020,0
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2021,0
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2022,0
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2023,2
SIFCONG,Sífilis Congênita,120005,Assis Brasil,AC,2024,1
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2007,3
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2008,1
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2009,1
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2010,1
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2011,0
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2012,1
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2013,1
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2014,2
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2015,0
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2016,1
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2017,4
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2018,13
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2019,3
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2020,1
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2021,9
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2022,9
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2023,5
SIFCONG,Sífilis Congênita,120010,Brasileia,AC,2024,2
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2007,4
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2008,1
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2009,3
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2010,0
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2011,3
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2012,10
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2013,18
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2014,20
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2015,14
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2016,13
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2017,10
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2018,16
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2019,17
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2020,13
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2021,18
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2022,16
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2023,4
SIFCONG,Sífilis Congênita,120020,Cruzeiro do Sul,AC,2024,1
SIFCONG,Sífilis Congênita,120025,Epitaciolandia,AC,2007,1
SIFCONG,Sífilis Congênita,120025,Epitaciolandia,AC,2008,0
SIFCONG,Sífilis Congênita,120025,Epitaciolandia,AC,2009,0
SIFCONG,Sífilis Congênita,120025,Epitaciolandia,AC,2010,0
SIFCONG,Sífilis Congênita,120025,Epitaciolandia,AC,2011,0
SIFCONG,Sífilis Congênita,120025,Epitaciolandia,AC,2012,0
SIFCONG,Sífilis Congênita,120025,Epitaciolandia,AC,2013,0
SIFCONG,Sífilis Congênita,120025,Epitaciolandia,AC,2014,0
SIFCONG,Sífilis Congênita,120025,Epitaciolandia,AC,2015,0
SIFCONG,Sífilis Congênita,120025,Epitaciolandia,AC,2016,0
SIFCONG,Sífilis Congênita,120025,Epitaciolandia,AC,2017,0
SIFCONG,Sífilis Congênita,120025,Epitaciolandia,AC,2018,0
SIFCONG,Sífilis Congênita,120025,Epitaciolandia,AC,2019,0
SIFCONG,Sífilis Congênita,120025,Epitaciolandia,AC,2020,0
