doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
TOXOC,Toxoplasmose Congênita,120001,Acrelandia,AC,2019,0
TOXOC,Toxoplasmose Congênita,120001,Acrelandia,AC,2020,0
TOXOC,Toxoplasmose Congênita,120001,Acrelandia,AC,2021,0
TOXOC,Toxoplasmose Congênita,120001,Acrelandia,AC,2022,2
TOXOC,Toxoplasmose Congênita,120001,Acrelandia,AC,2023,0
TOXOC,Toxoplasmose Congênita,120001,Acrelandia,AC,2024,0
TOXOC,Toxoplasmose Congênita,120001,Acrelandia,AC,2025,0
TOXOC,Toxoplasmose Congênita,120001,Acrelandia,AC,2026,0
TOXOC,Toxoplasmose Congênita,120010,Brasileia,AC,2019,0
TOXOC,Toxoplasmose Congênita,120010,Brasileia,AC,2020,0
TOXOC,Toxoplasmose Congênita,120010,Brasileia,AC,2021,0
TOXOC,Toxoplasmose Congênita,120010,Brasileia,AC,2022,2
TOXOC,Toxoplasmose Congênita,120010,Brasileia,AC,2023,0
TOXOC,Toxoplasmose Congênita,120010,Brasileia,AC,2024,1
TOXOC,Toxoplasmose Congênita,120010,Brasileia,AC,2025,0
TOXOC,Toxoplasmose Congênita,120010,Brasileia,AC,2026,0
TOXOC,Toxoplasmose Congênita,120020,Cruzeiro do Sul,AC,2019,2
TOXOC,Toxoplasmose Congênita,120020,Cruzeiro do Sul,AC,2020,0
TOXOC,Toxoplasmose Congênita,120020,Cruzeiro do Sul,AC,2021,5
TOXOC,Toxoplasmose Congênita,120020,Cruzeiro do Sul,AC,2022,17
TOXOC,Toxoplasmose Congênita,120020,Cruzeiro do Sul,AC,2023,14
TOXOC,Toxoplasmose Congênita,120020,Cruzeiro do Sul,AC,2024,3
TOXOC,Toxoplasmose Congênita,120020,Cruzeiro do Sul,AC,2025,3
TOXOC,Toxoplasmose Congênita,120020,Cruzeiro do Sul,AC,2026,1
TOXOC,Toxoplasmose Congênita,120025,Epitaciolandia,AC,2019,0
TOXOC,Toxoplasmose Congênita,120025,Epitaciolandia,AC,2020,0
TOXOC,Toxoplasmose Congênita,120025,Epitaciolandia,AC,2021,1
TOXOC,Toxoplasmose Congênita,120025,Epitaciolandia,AC,2022,0
TOXOC,Toxoplasmose Congênita,120025,Epitaciolandia,AC,2023,0
TOXOC,Toxoplasmose Congênita,120025,Epitaciolandia,AC,2024,0
TOXOC,Toxoplasmose Congênita,120025,Epitaciolandia,AC,2025,0
TOXOC,Toxoplasmose Congênita,120025,Epitaciolandia,AC,2026,0
TOXOC,Toxoplasmose Congênita,120032,Jordao,AC,2019,0
TOXOC,Toxoplasmose Congênita,120032,Jordao,AC,2020,0
TOXOC,Toxoplasmose Congênita,120032,Jordao,AC,2021,0
TOXOC,Toxoplasmose Congênita,120032,Jordao,AC,2022,1
TOXOC,Toxoplasmose Congênita,120032,Jordao,AC,2023,0
TOXOC,Toxoplasmose Congênita,120032,Jordao,AC,2024,0
TOXOC,Toxoplasmose Congênita,120032,Jordao,AC,2025,0
TOXOC,Toxoplasmose Congênita,120032,Jordao,AC,2026,0
TOXOC,Toxoplasmose Congênita,120033,Mancio Lima,AC,2019,1
