doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
VARIC,Varicela,120001,Acrelandia,AC,2007,0
VARIC,Varicela,120001,Acrelandia,AC,2008,0
VARIC,Varicela,120001,Acrelandia,AC,2009,0
VARIC,Varicela,120001,Acrelandia,AC,2010,0
VARIC,Varicela,120001,Acrelandia,AC,2011,0
VARIC,Varicela,120001,Acrelandia,AC,2012,0
VARIC,Varicela,120001,Acrelandia,AC,2013,0
VARIC,Varicela,120001,Acrelandia,AC,2014,0
VARIC,Varicela,120001,Acrelandia,AC,2015,0
VARIC,Varicela,120001,Acrelandia,AC,2016,0
VARIC,Varicela,120001,Acrelandia,AC,2017,0
VARIC,Varicela,120001,Acrelandia,AC,2018,0
VARIC,Varicela,120001,Acrelandia,AC,2019,0
VARIC,Varicela,120001,Acrelandia,AC,2020,0
VARIC,Varicela,120001,Acrelandia,AC,2021,0
VARIC,Varicela,120001,Acrelandia,AC,2022,1
VARIC,Varicela,120001,Acrelandia,AC,2023,3
VARIC,Varicela,120001,Acrelandia,AC,2024,0
VARIC,Varicela,120001,Acrelandia,AC,2025,0
VARIC,Varicela,120013,Bujari,AC,2007,0
VARIC,Varicela,120013,Bujari,AC,2008,0
VARIC,Varicela,120013,Bujari,AC,2009,0
VARIC,Varicela,120013,Bujari,AC,2010,0
VARIC,Varicela,120013,Bujari,AC,2011,0
VARIC,Varicela,120013,Bujari,AC,2012,0
VARIC,Varicela,120013,Bujari,AC,2013,0
VARIC,Varicela,120013,Bujari,AC,2014,4
VARIC,Varicela,120013,Bujari,AC,2015,0
VARIC,Varicela,120013,Bujari,AC,2016,2
VARIC,Varicela,120013,Bujari,AC,2017,0
VARIC,Varicela,120013,Bujari,AC,2018,0
VARIC,Varicela,120013,Bujari,AC,2019,0
VARIC,Varicela,120013,Bujari,AC,2020,0
VARIC,Varicela,120013,Bujari,AC,2021,0
VARIC,Varicela,120013,Bujari,AC,2022,0
VARIC,Varicela,120013,Bujari,AC,2023,4
VARIC,Varicela,120013,Bujari,AC,2024,0
VARIC,Varicela,120013,Bujari,AC,2025,0
VARIC,Varicela,120017,Capixaba,AC,2007,0
VARIC,Varicela,120017,Capixaba,AC,2008,0
VARIC,Varicela,120017,Capixaba,AC,2009,0
VARIC,Varicela,120017,Capixaba,AC,2010,0
VARIC,Varicela,120017,Capixaba,AC,2011,0
VARIC,Varicela,120017,Capixaba,AC,2012,0
VARIC,Varicela,120017,Capixaba,AC,2013,2
VARIC,Varicela,120017,Capixaba,AC,2014,0
VARIC,Varicela,120017,Capixaba,AC,2015,0
VARIC,Varicela,120017,Capixaba,AC,2016,0
VARIC,Varicela,120017,Capixaba,AC,2017,0
VARIC,Varicela,120017,Capixaba,AC,2018,0
VARIC,Varicela,120017,Capixaba,AC,2019,0
VARIC,Varicela,120017,Capixaba,AC,2020,0
VARIC,Varicela,120017,Capixaba,AC,2021,0
VARIC,Varicela,120017,Capixaba,AC,2022,0
VARIC,Varicela,120017,Capixaba,AC,2023,0
VARIC,Varicela,120017,Capixaba,AC,2024,0
VARIC,Varicela,120017,Capixaba,AC,2025,0
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2007,0
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2008,0
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2009,0
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2010,0
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2011,0
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2012,1
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2013,0
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2014,0
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2015,0
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2016,1
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2017,2
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2018,1
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2019,2
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2020,0
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2021,1
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2022,1
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2023,0
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2024,0
VARIC,Varicela,120020,Cruzeiro do Sul,AC,2025,0
VARIC,Varicela,120025,Epitaciolandia,AC,2007,0
VARIC,Varicela,120025,Epitaciolandia,AC,2008,0
VARIC,Varicela,120025,Epitaciolandia,AC,2009,0
VARIC,Varicela,120025,Epitaciolandia,AC,2010,0
VARIC,Varicela,120025,Epitaciolandia,AC,2011,1
VARIC,Varicela,120025,Epitaciolandia,AC,2012,3
VARIC,Varicela,120025,Epitaciolandia,AC,2013,0
VARIC,Varicela,120025,Epitaciolandia,AC,2014,0
VARIC,Varicela,120025,Epitaciolandia,AC,2015,2
VARIC,Varicela,120025,Epitaciolandia,AC,2016,0
VARIC,Varicela,120025,Epitaciolandia,AC,2017,1
VARIC,Varicela,120025,Epitaciolandia,AC,2018,0
VARIC,Varicela,120025,Epitaciolandia,AC,2019,0
VARIC,Varicela,120025,Epitaciolandia,AC,2020,0
VARIC,Varicela,120025,Epitaciolandia,AC,2021,0
VARIC,Varicela,120025,Epitaciolandia,AC,2022,1
VARIC,Varicela,120025,Epitaciolandia,AC,2023,3
VARIC,Varicela,120025,Epitaciolandia,AC,2024,4
VARIC,Varicela,120025,Epitaciolandia,AC,2025,10
VARIC,Varicela,120030,Feijo,AC,2007,0
VARIC,Varicela,120030,Feijo,AC,2008,0
VARIC,Varicela,120030,Feijo,AC,2009,0
VARIC,Varicela,120030,Feijo,AC,2010,0
VARIC,Varicela,120030,Feijo,AC,2011,0
VARIC,Varicela,120030,Feijo,AC,2012,0
VARIC,Varicela,120030,Feijo,AC,2013,0
VARIC,Varicela,120030,Feijo,AC,2014,0
VARIC,Varicela,120030,Feijo,AC,2015,0
VARIC,Varicela,120030,Feijo,AC,2016,1
VARIC,Varicela,120030,Feijo,AC,2017,0
VARIC,Varicela,120030,Feijo,AC,2018,0
VARIC,Varicela,120030,Feijo,AC,2019,0
VARIC,Varicela,120030,Feijo,AC,2020,0
VARIC,Varicela,120030,Feijo,AC,2021,0
VARIC,Varicela,120030,Feijo,AC,2022,0
VARIC,Varicela,120030,Feijo,AC,2023,0
VARIC,Varicela,120030,Feijo,AC,2024,0
VARIC,Varicela,120030,Feijo,AC,2025,0
VARIC,Varicela,120032,Jordao,AC,2007,0
VARIC,Varicela,120032,Jordao,AC,2008,0
VARIC,Varicela,120032,Jordao,AC,2009,0
VARIC,Varicela,120032,Jordao,AC,2010,0
VARIC,Varicela,120032,Jordao,AC,2011,3
VARIC,Varicela,120032,Jordao,AC,2012,0
VARIC,Varicela,120032,Jordao,AC,2013,0
VARIC,Varicela,120032,Jordao,AC,2014,0
