doenca,doenca_nome,cod_mun6,municipio,uf,ano,casos
ZIKA,Zika Vírus,120010,Brasileia,AC,2016,3
ZIKA,Zika Vírus,120010,Brasileia,AC,2017,16
ZIKA,Zika Vírus,120010,Brasileia,AC,2018,4
ZIKA,Zika Vírus,120010,Brasileia,AC,2019,0
ZIKA,Zika Vírus,120010,Brasileia,AC,2020,0
ZIKA,Zika Vírus,120010,Brasileia,AC,2021,5
ZIKA,Zika Vírus,120010,Brasileia,AC,2022,0
ZIKA,Zika Vírus,120010,Brasileia,AC,2023,1
ZIKA,Zika Vírus,120010,Brasileia,AC,2024,2
ZIKA,Zika Vírus,120010,Brasileia,AC,2025,0
ZIKA,Zika Vírus,120010,Brasileia,AC,2026,0
ZIKA,Zika Vírus,120017,Capixaba,AC,2016,0
ZIKA,Zika Vírus,120017,Capixaba,AC,2017,2
ZIKA,Zika Vírus,120017,Capixaba,AC,2018,0
ZIKA,Zika Vírus,120017,Capixaba,AC,2019,0
ZIKA,Zika Vírus,120017,Capixaba,AC,2020,0
ZIKA,Zika Vírus,120017,Capixaba,AC,2021,0
ZIKA,Zika Vírus,120017,Capixaba,AC,2022,0
ZIKA,Zika Vírus,120017,Capixaba,AC,2023,0
ZIKA,Zika Vírus,120017,Capixaba,AC,2024,0
ZIKA,Zika Vírus,120017,Capixaba,AC,2025,0
ZIKA,Zika Vírus,120017,Capixaba,AC,2026,0
ZIKA,Zika Vírus,120020,Cruzeiro do Sul,AC,2016,16
ZIKA,Zika Vírus,120020,Cruzeiro do Sul,AC,2017,2
ZIKA,Zika Vírus,120020,Cruzeiro do Sul,AC,2018,84
ZIKA,Zika Vírus,120020,Cruzeiro do Sul,AC,2019,11
ZIKA,Zika Vírus,120020,Cruzeiro do Sul,AC,2020,7
ZIKA,Zika Vírus,120020,Cruzeiro do Sul,AC,2021,285
ZIKA,Zika Vírus,120020,Cruzeiro do Sul,AC,2022,55
ZIKA,Zika Vírus,120020,Cruzeiro do Sul,AC,2023,230
ZIKA,Zika Vírus,120020,Cruzeiro do Sul,AC,2024,312
ZIKA,Zika Vírus,120020,Cruzeiro do Sul,AC,2025,336
ZIKA,Zika Vírus,120020,Cruzeiro do Sul,AC,2026,53
ZIKA,Zika Vírus,120025,Epitaciolandia,AC,2016,4
ZIKA,Zika Vírus,120025,Epitaciolandia,AC,2017,0
ZIKA,Zika Vírus,120025,Epitaciolandia,AC,2018,0
ZIKA,Zika Vírus,120025,Epitaciolandia,AC,2019,0
ZIKA,Zika Vírus,120025,Epitaciolandia,AC,2020,0
ZIKA,Zika Vírus,120025,Epitaciolandia,AC,2021,0
ZIKA,Zika Vírus,120025,Epitaciolandia,AC,2022,0
ZIKA,Zika Vírus,120025,Epitaciolandia,AC,2023,0
ZIKA,Zika Vírus,120025,Epitaciolandia,AC,2024,0
ZIKA,Zika Vírus,120025,Epitaciolandia,AC,2025,0
ZIKA,Zika Vírus,120025,Epitaciolandia,AC,2026,0
ZIKA,Zika Vírus,120030,Feijo,AC,2016,0
ZIKA,Zika Vírus,120030,Feijo,AC,2017,0
ZIKA,Zika Vírus,120030,Feijo,AC,2018,0
ZIKA,Zika Vírus,120030,Feijo,AC,2019,0
ZIKA,Zika Vírus,120030,Feijo,AC,2020,0
ZIKA,Zika Vírus,120030,Feijo,AC,2021,12
ZIKA,Zika Vírus,120030,Feijo,AC,2022,0
ZIKA,Zika Vírus,120030,Feijo,AC,2023,2
ZIKA,Zika Vírus,120030,Feijo,AC,2024,0
ZIKA,Zika Vírus,120030,Feijo,AC,2025,0
ZIKA,Zika Vírus,120030,Feijo,AC,2026,0
ZIKA,Zika Vírus,120033,Mancio Lima,AC,2016,0
ZIKA,Zika Vírus,120033,Mancio Lima,AC,2017,0
ZIKA,Zika Vírus,120033,Mancio Lima,AC,2018,0
ZIKA,Zika Vírus,120033,Mancio Lima,AC,2019,0
ZIKA,Zika Vírus,120033,Mancio Lima,AC,2020,0
ZIKA,Zika Vírus,120033,Mancio Lima,AC,2021,119
ZIKA,Zika Vírus,120033,Mancio Lima,AC,2022,0
ZIKA,Zika Vírus,120033,Mancio Lima,AC,2023,10
ZIKA,Zika Vírus,120033,Mancio Lima,AC,2024,0
ZIKA,Zika Vírus,120033,Mancio Lima,AC,2025,1
ZIKA,Zika Vírus,120033,Mancio Lima,AC,2026,0
ZIKA,Zika Vírus,120034,Manoel Urbano,AC,2016,1
ZIKA,Zika Vírus,120034,Manoel Urbano,AC,2017,0
ZIKA,Zika Vírus,120034,Manoel Urbano,AC,2018,0
ZIKA,Zika Vírus,120034,Manoel Urbano,AC,2019,0
ZIKA,Zika Vírus,120034,Manoel Urbano,AC,2020,0
ZIKA,Zika Vírus,120034,Manoel Urbano,AC,2021,0
ZIKA,Zika Vírus,120034,Manoel Urbano,AC,2022,0
ZIKA,Zika Vírus,120034,Manoel Urbano,AC,2023,42
ZIKA,Zika Vírus,120034,Manoel Urbano,AC,2024,1
ZIKA,Zika Vírus,120034,Manoel Urbano,AC,2025,1
ZIKA,Zika Vírus,120034,Manoel Urbano,AC,2026,0
ZIKA,Zika Vírus,120035,Marechal Thaumaturgo,AC,2016,0
ZIKA,Zika Vírus,120035,Marechal Thaumaturgo,AC,2017,0
ZIKA,Zika Vírus,120035,Marechal Thaumaturgo,AC,2018,0
ZIKA,Zika Vírus,120035,Marechal Thaumaturgo,AC,2019,0
ZIKA,Zika Vírus,120035,Marechal Thaumaturgo,AC,2020,0
ZIKA,Zika Vírus,120035,Marechal Thaumaturgo,AC,2021,0
ZIKA,Zika Vírus,120035,Marechal Thaumaturgo,AC,2022,0
ZIKA,Zika Vírus,120035,Marechal Thaumaturgo,AC,2023,0
ZIKA,Zika Vírus,120035,Marechal Thaumaturgo,AC,2024,61
ZIKA,Zika Vírus,120035,Marechal Thaumaturgo,AC,2025,19
ZIKA,Zika Vírus,120035,Marechal Thaumaturgo,AC,2026,0
ZIKA,Zika Vírus,120038,Placido de Castro,AC,2016,0
ZIKA,Zika Vírus,120038,Placido de Castro,AC,2017,0
ZIKA,Zika Vírus,120038,Placido de Castro,AC,2018,0
ZIKA,Zika Vírus,120038,Placido de Castro,AC,2019,0
ZIKA,Zika Vírus,120038,Placido de Castro,AC,2020,0
ZIKA,Zika Vírus,120038,Placido de Castro,AC,2021,0
ZIKA,Zika Vírus,120038,Placido de Castro,AC,2022,0
ZIKA,Zika Vírus,120038,Placido de Castro,AC,2023,0
ZIKA,Zika Vírus,120038,Placido de Castro,AC,2024,1
ZIKA,Zika Vírus,120038,Placido de Castro,AC,2025,0
ZIKA,Zika Vírus,120038,Placido de Castro,AC,2026,0
ZIKA,Zika Vírus,120039,Porto Walter,AC,2016,0
ZIKA,Zika Vírus,120039,Porto Walter,AC,2017,0
ZIKA,Zika Vírus,120039,Porto Walter,AC,2018,0
ZIKA,Zika Vírus,120039,Porto Walter,AC,2019,0
ZIKA,Zika Vírus,120039,Porto Walter,AC,2020,0
ZIKA,Zika Vírus,120039,Porto Walter,AC,2021,0
ZIKA,Zika Vírus,120039,Porto Walter,AC,2022,0
ZIKA,Zika Vírus,120039,Porto Walter,AC,2023,0
ZIKA,Zika Vírus,120039,Porto Walter,AC,2024,2
ZIKA,Zika Vírus,120039,Porto Walter,AC,2025,19
ZIKA,Zika Vírus,120039,Porto Walter,AC,2026,0
ZIKA,Zika Vírus,120040,Rio Branco,AC,2016,1449
ZIKA,Zika Vírus,120040,Rio Branco,AC,2017,268
ZIKA,Zika Vírus,120040,Rio Branco,AC,2018,203
ZIKA,Zika Vírus,120040,Rio Branco,AC,2019,131
ZIKA,Zika Vírus,120040,Rio Branco,AC,2020,173
ZIKA,Zika Vírus,120040,Rio Branco,AC,2021,110
ZIKA,Zika Vírus,120040,Rio Branco,AC,2022,47
ZIKA,Zika Vírus,120040,Rio Branco,AC,2023,611
ZIKA,Zika Vírus,120040,Rio Branco,AC,2024,577
ZIKA,Zika Vírus,120040,Rio Branco,AC,2025,892
ZIKA,Zika Vírus,120040,Rio Branco,AC,2026,53
ZIKA,Zika Vírus,120042,Rodrigues Alves,AC,2016,0
ZIKA,Zika Vírus,120042,Rodrigues Alves,AC,2017,0
ZIKA,Zika Vírus,120042,Rodrigues Alves,AC,2018,0
ZIKA,Zika Vírus,120042,Rodrigues Alves,AC,2019,0
ZIKA,Zika Vírus,120042,Rodrigues Alves,AC,2020,0
ZIKA,Zika Vírus,120042,Rodrigues Alves,AC,2021,13
ZIKA,Zika Vírus,120042,Rodrigues Alves,AC,2022,0
ZIKA,Zika Vírus,120042,Rodrigues Alves,AC,2023,3
ZIKA,Zika Vírus,120042,Rodrigues Alves,AC,2024,2
ZIKA,Zika Vírus,120042,Rodrigues Alves,AC,2025,0
ZIKA,Zika Vírus,120042,Rodrigues Alves,AC,2026,0
ZIKA,Zika Vírus,120045,Senador Guiomard,AC,2016,0
ZIKA,Zika Vírus,120045,Senador Guiomard,AC,2017,0
ZIKA,Zika Vírus,120045,Senador Guiomard,AC,2018,0
ZIKA,Zika Vírus,120045,Senador Guiomard,AC,2019,0
ZIKA,Zika Vírus,120045,Senador Guiomard,AC,2020,0
ZIKA,Zika Vírus,120045,Senador Guiomard,AC,2021,1
ZIKA,Zika Vírus,120045,Senador Guiomard,AC,2022,0
ZIKA,Zika Vírus,120045,Senador Guiomard,AC,2023,0
ZIKA,Zika Vírus,120045,Senador Guiomard,AC,2024,0
ZIKA,Zika Vírus,120045,Senador Guiomard,AC,2025,0
ZIKA,Zika Vírus,120045,Senador Guiomard,AC,2026,0
ZIKA,Zika Vírus,120050,Sena Madureira,AC,2016,11
ZIKA,Zika Vírus,120050,Sena Madureira,AC,2017,0
ZIKA,Zika Vírus,120050,Sena Madureira,AC,2018,0
ZIKA,Zika Vírus,120050,Sena Madureira,AC,2019,0
ZIKA,Zika Vírus,120050,Sena Madureira,AC,2020,0
ZIKA,Zika Vírus,120050,Sena Madureira,AC,2021,0
ZIKA,Zika Vírus,120050,Sena Madureira,AC,2022,1
ZIKA,Zika Vírus,120050,Sena Madureira,AC,2023,0
ZIKA,Zika Vírus,120050,Sena Madureira,AC,2024,0
ZIKA,Zika Vírus,120050,Sena Madureira,AC,2025,4
ZIKA,Zika Vírus,120050,Sena Madureira,AC,2026,0
ZIKA,Zika Vírus,120060,Tarauaca,AC,2016,0
ZIKA,Zika Vírus,120060,Tarauaca,AC,2017,0
ZIKA,Zika Vírus,120060,Tarauaca,AC,2018,74
ZIKA,Zika Vírus,120060,Tarauaca,AC,2019,8
ZIKA,Zika Vírus,120060,Tarauaca,AC,2020,0
ZIKA,Zika Vírus,120060,Tarauaca,AC,2021,45
ZIKA,Zika Vírus,120060,Tarauaca,AC,2022,0
ZIKA,Zika Vírus,120060,Tarauaca,AC,2023,7
ZIKA,Zika Vírus,120060,Tarauaca,AC,2024,0
ZIKA,Zika Vírus,120060,Tarauaca,AC,2025,7
ZIKA,Zika Vírus,120060,Tarauaca,AC,2026,0
ZIKA,Zika Vírus,120070,Xapuri,AC,2016,47
ZIKA,Zika Vírus,120070,Xapuri,AC,2017,7
ZIKA,Zika Vírus,120070,Xapuri,AC,2018,0
ZIKA,Zika Vírus,120070,Xapuri,AC,2019,0
ZIKA,Zika Vírus,120070,Xapuri,AC,2020,0
ZIKA,Zika Vírus,120070,Xapuri,AC,2021,1
ZIKA,Zika Vírus,120070,Xapuri,AC,2022,0
ZIKA,Zika Vírus,120070,Xapuri,AC,2023,2
ZIKA,Zika Vírus,120070,Xapuri,AC,2024,0
ZIKA,Zika Vírus,120070,Xapuri,AC,2025,0
ZIKA,Zika Vírus,120070,Xapuri,AC,2026,5
ZIKA,Zika Vírus,270010,Agua Branca,AL,2016,206
ZIKA,Zika Vírus,270010,Agua Branca,AL,2017,4
ZIKA,Zika Vírus,270010,Agua Branca,AL,2018,0
ZIKA,Zika Vírus,270010,Agua Branca,AL,2019,0
ZIKA,Zika Vírus,270010,Agua Branca,AL,2020,0
ZIKA,Zika Vírus,270010,Agua Branca,AL,2021,0
ZIKA,Zika Vírus,270010,Agua Branca,AL,2022,1
ZIKA,Zika Vírus,270010,Agua Branca,AL,2023,0
ZIKA,Zika Vírus,270010,Agua Branca,AL,2024,0
ZIKA,Zika Vírus,270010,Agua Branca,AL,2025,0
ZIKA,Zika Vírus,270010,Agua Branca,AL,2026,0
ZIKA,Zika Vírus,270020,Anadia,AL,2016,87
ZIKA,Zika Vírus,270020,Anadia,AL,2017,0
ZIKA,Zika Vírus,270020,Anadia,AL,2018,0
ZIKA,Zika Vírus,270020,Anadia,AL,2019,3
ZIKA,Zika Vírus,270020,Anadia,AL,2020,0
ZIKA,Zika Vírus,270020,Anadia,AL,2021,1
