cod_mun6,ano,populacao,municipio_ibge
100531,2014,1005319,
100691,2003,1006918,
100806,2011,1008065,
101238,2018,1012382,
101377,2015,1013773,
101612,2012,1016128,
101894,2019,1018948,
102170,2016,1021709,
102536,2020,1025360,
102550,2013,1025507,
102743,2011,1027430,
102912,2017,1029129,
103159,2021,1031597,
103188,2004,1031887,
103190,2014,1031903,
103808,2015,1038081,
103961,2012,1039610,
104405,2016,1044058,
104570,2005,1045706,
104982,2017,1049826,
105392,2013,1053922,
105664,2008,1056644,
105942,2006,1059420,
106419,2014,1064197,
106466,2009,1064669,
107389,2015,1073893,
107768,2018,1077687,
108293,2016,1082935,
108483,2019,1084839,
108805,2024,1088057,
108921,2025,1089215,
109038,2011,1090386,
109173,2020,1091737,
109186,2017,1091868,
109466,2018,1094667,
109835,2021,1098357,
109863,2012,1098630,
110001,2001,26919,Alta Floresta D'Oeste - RO
110001,2002,27237,Alta Floresta D'Oeste - RO
110001,2003,27563,Alta Floresta D'Oeste - RO
110001,2004,29001,Alta Floresta D'Oeste - RO
110001,2005,28629,Alta Floresta D'Oeste - RO
110001,2006,29005,Alta Floresta D'Oeste - RO
110001,2008,24577,Alta Floresta D'Oeste - RO
110001,2009,24354,Alta Floresta D'Oeste - RO
110001,2011,24228,Alta Floresta D'Oeste - RO
110001,2012,24069,Alta Floresta D'Oeste - RO
110001,2013,25728,Alta Floresta D'Oeste - RO
110001,2014,25652,Alta Floresta D'Oeste - RO
110001,2015,25578,Alta Floresta D'Oeste - RO
110001,2016,25506,Alta Floresta D'Oeste - RO
110001,2017,25437,Alta Floresta D'Oeste - RO
110001,2018,23167,Alta Floresta D'Oeste - RO
110001,2019,22945,Alta Floresta D'Oeste - RO
110001,2020,22728,Alta Floresta D'Oeste - RO
110001,2021,22516,Alta Floresta D'Oeste - RO
110001,2024,22853,Alta Floresta D'Oeste - RO
110001,2025,22787,Alta Floresta D'Oeste - RO
110002,2001,76371,Ariquemes - RO
110002,2002,78039,Ariquemes - RO
110002,2003,79680,Ariquemes - RO
110002,2004,86901,Ariquemes - RO
110002,2005,85031,Ariquemes - RO
110002,2006,86924,Ariquemes - RO
110002,2008,84581,Ariquemes - RO
110002,2009,85541,Ariquemes - RO
110002,2011,91570,Ariquemes - RO
110002,2012,92747,Ariquemes - RO
110002,2013,101269,Ariquemes - RO
110002,2014,102860,Ariquemes - RO
110002,2015,104401,Ariquemes - RO
110002,2016,105896,Ariquemes - RO
110002,2017,107345,Ariquemes - RO
110002,2018,106168,Ariquemes - RO
110002,2019,107863,Ariquemes - RO
110002,2020,109523,Ariquemes - RO
110002,2021,111148,Ariquemes - RO
110002,2024,108573,Ariquemes - RO
110002,2025,109170,Ariquemes - RO
110003,2001,7501,Cabixi - RO
110003,2002,7490,Cabixi - RO
110003,2003,7478,Cabixi - RO
110003,2004,7421,Cabixi - RO
110003,2005,7436,Cabixi - RO
110003,2006,7421,Cabixi - RO
110003,2008,6777,Cabixi - RO
110003,2009,6695,Cabixi - RO
110003,2011,6221,Cabixi - RO
110003,2012,6132,Cabixi - RO
110003,2013,6495,Cabixi - RO
110003,2014,6424,Cabixi - RO
110003,2015,6355,Cabixi - RO
110003,2016,6289,Cabixi - RO
110003,2017,6224,Cabixi - RO
110003,2018,5438,Cabixi - RO
110003,2019,5312,Cabixi - RO
110003,2020,5188,Cabixi - RO
110003,2021,5067,Cabixi - RO
110003,2024,5690,Cabixi - RO
110003,2025,5664,Cabixi - RO
110004,2001,73996,Cacoal - RO
110004,2002,74381,Cacoal - RO
110004,2003,74758,Cacoal - RO
110004,2004,76417,Cacoal - RO
110004,2005,75988,Cacoal - RO
110004,2006,76422,Cacoal - RO
110004,2008,78263,Cacoal - RO
110004,2009,78675,Cacoal - RO
110004,2011,78959,Cacoal - RO
110004,2012,79330,Cacoal - RO
110004,2013,85863,Cacoal - RO
110004,2014,86556,Cacoal - RO
